index,Year,Quarter,CountryOfAsylum,nationality,ethnicity,intentionmove,TotalAdult,TotalMinor,AppliedRefugee,documentation_id,Childinschool,Childvirtualed,disabilityacc_disabilityserv,medicalReceived,RiskYes,RiskReturn_medical,RiskStay_medical
1,2020,Q4,,venezuela,,stay,2.0,0.0,nointention,1,,,,StronglyAgree,StronglyAgree,1.0,
2,2020,Q4,,venezuela,,dontknow,3.0,2.0,,1,yes,no,,Agree,Agree,1.0,
3,2020,Q4,,venezuela,,stay,2.0,2.0,nointention,1,yes,yes,,StronglyAgree,Agree,0.0,
4,2020,Q4,,venezuela,,stay,3.0,1.0,,1,yes,yes,,Disagree,Agree,1.0,
5,2020,Q4,,venezuela,,relocate,2.0,0.0,nointention,0,,,,StronglyAgree,Agree,1.0,
6,2020,Q4,,venezuela,,stay,2.0,1.0,nointention,1,yes,yes,,StronglyAgree,StronglyAgree,0.0,
7,2020,Q4,,venezuela,,stay,,,nointention,0,,,,Agree,StronglyAgree,1.0,
8,2020,Q4,,venezuela,,stay,2.0,2.0,nointention,1,yes,no,,StronglyAgree,Agree,1.0,
9,2020,Q4,,venezuela,,relocate,,,nointention,1,yes,yes,,StronglyAgree,Agree,0.0,
10,2020,Q4,,venezuela,,stay,3.0,1.0,nointention,1,,,,,Agree,1.0,
11,2020,Q4,,venezuela,,stay,2.0,1.0,nointention,1,yes,yes,,StronglyAgree,Agree,1.0,
12,2020,Q4,,venezuela,,stay,3.0,1.0,nointention,1,,,,StronglyAgree,Agree,1.0,
13,2020,Q4,,venezuela,,stay,,,,1,,,,StronglyAgree,StronglyAgree,1.0,
14,2020,Q4,,venezuela,,stay,1.0,2.0,nointention,1,yes,yes,,,Agree,0.0,
15,2020,Q4,,venezuela,,stay,3.0,1.0,nointention,1,yes,yes,,Undecided,Agree,1.0,
16,2020,Q4,,venezuela,,stay,1.0,0.0,nointention,0,,,,,Agree,0.0,
17,2020,Q4,,venezuela,,stay,2.0,0.0,nointention,1,,,,Agree,Agree,1.0,
18,2020,Q4,,venezuela,,stay,3.0,0.0,nointention,0,,,,StronglyAgree,Agree,1.0,
19,2020,Q4,,venezuela,,relocate,2.0,1.0,nointention,0,yes,no,,,Agree,0.0,
20,2020,Q4,,venezuela,,stay,2.0,1.0,nointention,1,,,,StronglyAgree,StronglyAgree,1.0,
21,2020,Q4,,venezuela,,stay,1.0,0.0,nointention,1,,,,Disagree,StronglyAgree,1.0,
22,2020,Q4,,venezuela,,stay,3.0,0.0,nointention,1,,,,StronglyAgree,StronglyAgree,0.0,
23,2020,Q4,,venezuela,,stay,2.0,0.0,nointention,0,,,,StronglyAgree,StronglyAgree,1.0,
24,2020,Q4,,venezuela,,stay,2.0,1.0,nointention,1,yes,yes,,StronglyAgree,Agree,1.0,
