Year,Quarter,CountryOfAsylum,Reason_notmedical
2020,Q4,,whynotMedical_nomoney
2020,Q4,,whynotMedical_nomoney
2020,Q4,,whynotMedical_nomoney
2020,Q4,,whynotMedical_nomoney
2020,Q4,,whynotMedical_nomoney
2021,Q1Q2,Argentina,whynotMedical_nomoney
2021,Q1Q2,Argentina,whynotMedical_nomoney
2021,Q1Q2,Argentina,whynotMedical_nomoney
2021,Q1Q2,Argentina,whynotMedical_nomoney
2021,Q1Q2,Argentina,whynotMedical_nomoney
2021,Q1Q2,Argentina,whynotMedical_nomoney
2021,Q1Q2,Argentina,whynotMedical_nomoney
2021,Q1Q2,Argentina,whynotMedical_nomoney
2021,Q1Q2,Argentina,whynotMedical_nomoney
2021,Q1Q2,Argentina,whynotMedical_nomoney
2020,Q4,,whynotMedical_noinsurance
2020,Q4,,whynotMedical_noinsurance
2021,Q1Q2,Argentina,whynotMedical_noinsurance
2021,Q1Q2,Argentina,whynotMedical_noinsurance
2021,Q1Q2,Argentina,whynotMedical_noinsurance
2021,Q1Q2,Argentina,whynotMedical_noinsurance
2020,Q4,,whynotMedical_noID
2020,Q4,,whynotMedical_noID
2021,Q1Q2,Argentina,whynotMedical_noID
2021,Q1Q2,Argentina,whynotMedical_noID
2021,Q1Q2,Argentina,whynotMedical_noID
2021,Q1Q2,Argentina,whynotMedical_noID
2021,Q1Q2,Argentina,whynotMedical_noID
2021,Q1Q2,Argentina,whynotMedical_noID
2021,Q1Q2,Argentina,whynotMedical_noinfo
2021,Q1Q2,Argentina,whynotMedical_distance
2020,Q4,,whynotMedical_notavailable
2020,Q4,,whynotMedical_notavailable
2020,Q4,,whynotMedical_notavailable
2021,Q1Q2,Argentina,whynotMedical_notavailable
2021,Q1Q2,Argentina,whynotMedical_notavailable
2021,Q1Q2,Argentina,whynotMedical_notavailable
2021,Q1Q2,Argentina,whynotMedical_notavailable
2021,Q1Q2,Argentina,whynotMedical_notavailable
2021,Q1Q2,Argentina,whynotMedical_notavailable
2021,Q1Q2,Argentina,whynotMedical_notavailable
2020,Q4,,whynotMedical_denied
2021,Q1Q2,Argentina,whynotMedical_denied
