index,Year,Quarter,CountryOfAsylum,nationality,ethnicity,intentionmove,TotalAdult,TotalMinor,AppliedRefugee,documentation_id,Childinschool,Childvirtualed,disabilityacc_disabilityserv,medicalReceived,RiskYes,RiskReturn_medical,RiskStay_medical
1,2021,Q3,Bolivia,venezuela,,stay,3.0,1.0,yes,1,yes,yes,0,Undecided,StronglyAgree,1,0
2,2021,Q3,Bolivia,venezuela,,stay,,,,0,yes,yes,0,StronglyAgree,Undecided,0,0
3,2021,Q3,Bolivia,venezuela,,stay,,,no,1,yes,yes,0,Agree,Agree,1,0
4,2021,Q3,Bolivia,venezuela,,stay,2.0,1.0,yes,1,,,0,StronglyAgree,Agree,1,0
5,2021,Q3,Bolivia,venezuela,,stay,2.0,1.0,yes,0,yes,yes,0,,Agree,0,0
6,2021,Q3,Bolivia,venezuela,,stay,,,no,0,yes,yes,0,Agree,Agree,1,0
7,2021,Q3,Bolivia,venezuela,,relocate,2.0,0.0,no,1,,,0,,Disagree,0,0
8,2021,Q3,Bolivia,venezuela,,stay,2.0,0.0,,1,,,0,StronglyAgree,Disagree,0,0
9,2021,Q3,Bolivia,venezuela,,stay,2.0,1.0,no,1,,,0,StronglyAgree,StronglyDisagree,0,0
10,2021,Q3,Bolivia,venezuela,,stay,2.0,0.0,,1,,,0,,Disagree,0,0
11,2021,Q3,Bolivia,venezuela,,stay,2.0,0.0,no,1,,,0,,StronglyAgree,1,0
12,2021,Q3,Bolivia,venezuela,,stay,,,yes,1,yes,yes,0,Agree,StronglyAgree,1,0
13,2021,Q3,Bolivia,venezuela,,stay,,,yes,1,yes,no,0,StronglyAgree,StronglyAgree,1,0
14,2021,Q3,Bolivia,venezuela,,stay,,,,1,no,,0,StronglyAgree,Agree,0,0
15,2021,Q3,Bolivia,venezuela,,stay,2.0,2.0,,1,yes,yes,0,StronglyAgree,Agree,0,0
16,2021,Q3,Bolivia,venezuela,,stay,2.0,0.0,no,1,,,0,,Agree,0,0
17,2021,Q3,Bolivia,venezuela,,stay,2.0,1.0,yes,1,,,0,,Agree,1,0
18,2021,Q3,Bolivia,venezuela,,stay,4.0,1.0,no,0,,,0,StronglyAgree,Agree,0,0
19,2021,Q3,Bolivia,venezuela,,stay,6.0,0.0,no,1,,,0,StronglyAgree,StronglyAgree,1,0
