Year,Quarter,CountryOfAsylum,Reason_notschool
2021,Q3,Bolivia,Childwhynotschool_nodocs
2021,Q3,Bolivia,Childwhynotschool_nodocs
2021,Q3,Bolivia,Childwhynotschool_nodocs
2021,Q3,Bolivia,Childwhynotschool_nodocs
2021,Q3,Bolivia,Childwhynotschool_nodocs
2021,Q3,Bolivia,Childwhynotschool_nodocs
2021,Q3,Bolivia,Childwhynotschool_nodocs
2021,Q3,Bolivia,Childwhynotschool_nodocs
2021,Q3,Bolivia,Childwhynotschool_nodocs
2021,Q3,Bolivia,Childwhynotschool_nomoney
2021,Q3,Bolivia,Childwhynotschool_nomoney
2021,Q3,Bolivia,Childwhynotschool_failedschool
2021,Q3,Bolivia,Childwhynotschool_nospot
2021,Q3,Bolivia,Childwhynotschool_nospot
2021,Q3,Bolivia,Childwhynotschool_recentlyarrive
