Year,Quarter,CountryOfAsylum,Reason_notmedical
2021,Q1Q2,Brazil,whynotMedical_nomoney
2021,Q1Q2,Brazil,whynotMedical_nomoney
2021,Q1Q2,Brazil,whynotMedical_nomoney
2021,Q1Q2,Brazil,whynotMedical_nomoney
2021,Q1Q2,Brazil,whynotMedical_nomoney
2021,Q1Q2,Brazil,whynotMedical_nomoney
2021,Q1Q2,Brazil,whynotMedical_nomoney
2021,Q1Q2,Brazil,whynotMedical_nomoney
2021,Q1Q2,Brazil,whynotMedical_nomoney
2021,Q1Q2,Brazil,whynotMedical_nomoney
2021,Q1Q2,Brazil,whynotMedical_nomoney
2021,Q1Q2,Brazil,whynotMedical_nomoney
2021,Q1Q2,Brazil,whynotMedical_nomoney
2021,Q3,Brazil,whynotMedical_nomoney
2021,Q3,Brazil,whynotMedical_nomoney
2021,Q3,Brazil,whynotMedical_nomoney
2021,Q1Q2,Brazil,whynotMedical_noinsurance
2021,Q1Q2,Brazil,whynotMedical_noinsurance
2021,Q1Q2,Brazil,whynotMedical_noinsurance
2021,Q1Q2,Brazil,whynotMedical_noinsurance
2021,Q1Q2,Brazil,whynotMedical_noinsurance
2021,Q1Q2,Brazil,whynotMedical_noinsurance
2021,Q1Q2,Brazil,whynotMedical_noinsurance
2021,Q3,Brazil,whynotMedical_noinsurance
2021,Q1Q2,Brazil,whynotMedical_noID
2021,Q1Q2,Brazil,whynotMedical_noID
2021,Q1Q2,Brazil,whynotMedical_noID
2021,Q1Q2,Brazil,whynotMedical_noID
2021,Q1Q2,Brazil,whynotMedical_noID
2021,Q1Q2,Brazil,whynotMedical_noID
2021,Q1Q2,Brazil,whynotMedical_noID
2021,Q1Q2,Brazil,whynotMedical_noID
2021,Q1Q2,Brazil,whynotMedical_noID
2021,Q1Q2,Brazil,whynotMedical_noID
2021,Q1Q2,Brazil,whynotMedical_noID
2021,Q1Q2,Brazil,whynotMedical_noID
2021,Q1Q2,Brazil,whynotMedical_noID
2021,Q1Q2,Brazil,whynotMedical_noID
2021,Q1Q2,Brazil,whynotMedical_noID
2021,Q1Q2,Brazil,whynotMedical_noID
2021,Q1Q2,Brazil,whynotMedical_noID
2021,Q1Q2,Brazil,whynotMedical_noID
2021,Q1Q2,Brazil,whynotMedical_noID
2021,Q1Q2,Brazil,whynotMedical_noID
2021,Q1Q2,Brazil,whynotMedical_noID
2021,Q1Q2,Brazil,whynotMedical_noID
2021,Q3,Brazil,whynotMedical_noID
2021,Q1Q2,Brazil,whynotMedical_noinfo
2021,Q1Q2,Brazil,whynotMedical_noinfo
2021,Q1Q2,Brazil,whynotMedical_noinfo
2021,Q1Q2,Brazil,whynotMedical_noinfo
2021,Q1Q2,Brazil,whynotMedical_noinfo
2021,Q1Q2,Brazil,whynotMedical_noinfo
2021,Q1Q2,Brazil,whynotMedical_noinfo
2021,Q1Q2,Brazil,whynotMedical_noinfo
2021,Q1Q2,Brazil,whynotMedical_noinfo
2021,Q1Q2,Brazil,whynotMedical_noinfo
2021,Q1Q2,Brazil,whynotMedical_noinfo
2021,Q1Q2,Brazil,whynotMedical_noinfo
2021,Q1Q2,Brazil,whynotMedical_noinfo
2021,Q1Q2,Brazil,whynotMedical_noinfo
2021,Q3,Brazil,whynotMedical_noinfo
2021,Q3,Brazil,whynotMedical_noinfo
2021,Q1Q2,Brazil,whynotMedical_feararrested
2021,Q1Q2,Brazil,whynotMedical_feararrested
2021,Q1Q2,Brazil,whynotMedical_feararrested
2021,Q1Q2,Brazil,whynotMedical_feararrested
2021,Q1Q2,Brazil,whynotMedical_distance
2021,Q1Q2,Brazil,whynotMedical_distance
2021,Q3,Brazil,whynotMedical_distance
2021,Q1Q2,Brazil,whynotMedical_notavailable
2021,Q1Q2,Brazil,whynotMedical_notavailable
2021,Q1Q2,Brazil,whynotMedical_notavailable
2021,Q1Q2,Brazil,whynotMedical_notavailable
2021,Q1Q2,Brazil,whynotMedical_notavailable
2021,Q1Q2,Brazil,whynotMedical_notavailable
2021,Q1Q2,Brazil,whynotMedical_notavailable
2021,Q1Q2,Brazil,whynotMedical_notavailable
2021,Q1Q2,Brazil,whynotMedical_notavailable
2021,Q1Q2,Brazil,whynotMedical_notavailable
2021,Q1Q2,Brazil,whynotMedical_notavailable
2021,Q1Q2,Brazil,whynotMedical_notavailable
2021,Q1Q2,Brazil,whynotMedical_notavailable
2021,Q1Q2,Brazil,whynotMedical_notavailable
2021,Q1Q2,Brazil,whynotMedical_notavailable
2021,Q1Q2,Brazil,whynotMedical_notavailable
2021,Q3,Brazil,whynotMedical_notavailable
2021,Q3,Brazil,whynotMedical_notavailable
2021,Q3,Brazil,whynotMedical_notavailable
2021,Q1Q2,Brazil,whynotMedical_denied
2021,Q1Q2,Brazil,whynotMedical_denied
2021,Q1Q2,Brazil,whynotMedical_denied
2021,Q1Q2,Brazil,whynotMedical_denied
2021,Q1Q2,Brazil,whynotMedical_denied
2021,Q1Q2,Brazil,whynotMedical_denied
2021,Q1Q2,Brazil,whynotMedical_denied
2021,Q1Q2,Brazil,whynotMedical_denied
