"ID","Year","Quarter","CountryOfAsylum","nationality","ethnicity","intentionmove","TotalAdult","TotalMinor","AppliedRefugee","documentation_id","Childinschool","Childvirtualed","disabilityacc_disabilityserv","medicalReceived","RiskYes","RiskReturn_medical","RiskStay_medical"
1,2021,"Q3","Colombia","","mixed","stay",0,0,"nointention",1,"no","",NA,"StronglyAgree","StronglyAgree",1,NA
2,2021,"Q3","Colombia","venezuela","","stay",0,0,"nointention",1,"","",NA,"","StronglyAgree",1,NA
3,2021,"Q3","Colombia","venezuela","mixed","stay",0,0,"nointention",1,"","",NA,"","Undecided",NA,NA
4,2021,"Q3","Colombia","venezuela","","stay",0,0,"nointention",1,"yes","no",NA,"StronglyAgree","StronglyAgree",1,NA
5,2021,"Q3","Colombia","venezuela","","stay",0,0,"yes",1,"yes","no",NA,"","StronglyAgree",1,NA
6,2021,"Q3","Colombia","colombia","mixed","stay",0,0,"nointention",0,"yes","no",NA,"Agree","Agree",1,NA
7,2021,"Q3","Colombia","venezuela","","stay",0,0,"yes",0,"no","",NA,"Agree","Undecided",NA,NA
8,2021,"Q3","Colombia","venezuela","other","stay",0,0,"nointention",1,"no","",NA,"","Agree",1,NA
9,2021,"Q3","Colombia","venezuela","","stay",0,0,"nointention",1,"no","",NA,"Agree","StronglyAgree",0,NA
10,2021,"Q3","Colombia","venezuela","","stay",0,0,"nointention",1,"yes","no",NA,"","Undecided",NA,NA
11,2021,"Q3","Colombia","venezuela","","stay",0,0,"nointention",1,"yes","yes",NA,"StronglyAgree","StronglyAgree",1,NA
12,2021,"Q3","Colombia","venezuela","","stay",0,0,"yes",1,"no","",NA,"","Agree",0,NA
13,2021,"Q3","Colombia","venezuela","other","dontknow",0,0,"yes",1,"notell","",NA,"StronglyAgree","Disagree",NA,NA
14,2021,"Q3","Colombia","venezuela","mixed","stay",0,0,"nointention",0,"yes","yes",NA,"StronglyAgree","StronglyAgree",1,NA
15,2021,"Q3","Colombia","","","stay",0,0,"",1,"yes","no",NA,"Agree","StronglyAgree",1,NA
16,2021,"Q3","Colombia","venezuela","other","stay",0,0,"nointention",1,"yes","no",NA,"Agree","Agree",1,NA
17,2021,"Q3","Colombia","venezuela","","stay",0,0,"yes",1,"yes","no",NA,"Agree","StronglyAgree",1,NA
18,2021,"Q3","Colombia","venezuela","","stay",0,0,"nointention",1,"","",NA,"","StronglyAgree",0,NA
19,2021,"Q3","Colombia","venezuela","","stay",0,0,"yes",1,"no","",NA,"StronglyAgree","Agree",0,NA
20,2021,"Q3","Colombia","venezuela","mixed","stay",0,0,"nointention",1,"","",NA,"","Agree",0,NA
21,2021,"Q3","Colombia","venezuela","mixed","stay",0,0,"",1,"yes","yes",NA,"Agree","Agree",1,NA
22,2021,"Q3","Colombia","venezuela","mixed","stay",0,0,"yes",1,"yes","yes",NA,"","StronglyDisagree",NA,NA
23,2021,"Q3","Colombia","venezuela","mixed","stay",0,0,"",1,"","",NA,"StronglyAgree","Disagree",NA,NA
24,2021,"Q3","Colombia","","","stay",0,0,"yes",0,"yes","no",NA,"","Undecided",NA,NA
25,2021,"Q3","Colombia","venezuela","","stay",0,0,"nointention",1,"yes","yes",NA,"StronglyDisagree","Disagree",NA,NA
26,2021,"Q3","Colombia","venezuela","mixed","stay",0,0,"",1,"","",NA,"StronglyAgree","StronglyAgree",1,NA
27,2021,"Q3","Colombia","venezuela","","stay",0,0,"nointention",1,"yes","yes",NA,"","StronglyAgree",0,NA
28,2021,"Q3","Colombia","venezuela","","stay",0,0,"yes",0,"yes","no",NA,"Agree","StronglyAgree",1,NA
29,2021,"Q3","Colombia","venezuela","","stay",0,0,"",1,"yes","yes",NA,"StronglyDisagree","Undecided",NA,NA
30,2021,"Q3","Colombia","venezuela","","stay",0,0,"",1,"no","",NA,"StronglyDisagree","Disagree",NA,NA
31,2021,"Q3","Colombia","venezuela","","stay",0,0,"",1,"yes","no",NA,"","Agree",0,NA
32,2021,"Q3","Colombia","venezuela","other","stay",0,0,"yes",0,"no","",NA,"","Agree",1,NA
33,2021,"Q3","Colombia","venezuela","","stay",0,0,"nointention",1,"","",NA,"","Agree",0,NA
34,2021,"Q3","Colombia","venezuela","","stay",0,0,"yes",1,"yes","no",NA,"","Agree",1,NA
35,2021,"Q3","Colombia","venezuela","","stay",0,0,"nointention",1,"","",NA,"","Disagree",NA,NA
36,2021,"Q3","Colombia","","","stay",0,0,"nointention",1,"yes","yes",NA,"StronglyAgree","StronglyAgree",1,NA
37,2021,"Q3","Colombia","venezuela","mixed","stay",0,0,"yes",1,"yes","yes",NA,"Agree","Agree",1,NA
38,2021,"Q3","Colombia","venezuela","mixed","dontknow",0,0,"",1,"yes","no",NA,"Agree","Undecided",NA,NA
39,2021,"Q3","Colombia","colombia","mixed","stay",0,0,"",1,"","",NA,"StronglyAgree","Agree",1,NA
