"Year","Quarter","CountryOfAsylum","Reasons"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_noID"
2021,"Q3","CostaRica","whynotMedical_denied"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_noID"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_noID"
2021,"Q3","CostaRica","whynotMedical_nomoney"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_nomoney"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_nomoney"
2021,"Q3","CostaRica","whynotMedical_noID"
2021,"Q3","CostaRica","whynotMedical_nomoney"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_denied"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_noID"
2021,"Q3","CostaRica","whynotMedical_nomoney"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_denied"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_denied"
2021,"Q3","CostaRica","whynotMedical_notavailable"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_nomoney"
2021,"Q3","CostaRica","whynotMedical_noinfo"
2021,"Q3","CostaRica","whynotMedical_nomoney"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_nomoney"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_notavailable"
2021,"Q3","CostaRica","whynotMedical_nomoney"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_noinfo"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_notavailable"
2021,"Q3","CostaRica","whynotMedical_nomoney"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_noID"
2021,"Q3","CostaRica","whynotMedical_nomoney"
2021,"Q3","CostaRica","whynotMedical_noID"
2021,"Q3","CostaRica","whynotMedical_noinfo"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_nomoney"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_noID"
2021,"Q3","CostaRica","whynotMedical_noinfo"
2021,"Q3","CostaRica","whynotMedical_nomoney"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_nomoney"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_noID"
2021,"Q3","CostaRica","whynotMedical_noinfo"
2021,"Q3","CostaRica","whynotMedical_notavailable"
2021,"Q3","CostaRica","whynotMedical_nomoney"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_nomoney"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_noID"
2021,"Q3","CostaRica","whynotMedical_denied"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_nomoney"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_nomoney"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_noID"
2021,"Q3","CostaRica","whynotMedical_noinfo"
2021,"Q3","CostaRica","whynotMedical_nomoney"
2021,"Q3","CostaRica","whynotMedical_nomoney"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_nomoney"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_noID"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_noID"
2021,"Q3","CostaRica","whynotMedical_distance"
2021,"Q3","CostaRica","whynotMedical_denied"
2021,"Q3","CostaRica","whynotMedical_denied"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_noID"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_nomoney"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_noID"
2021,"Q3","CostaRica","whynotMedical_nomoney"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_denied"
2021,"Q3","CostaRica","whynotMedical_denied"
2021,"Q3","CostaRica","whynotMedical_denied"
2021,"Q3","CostaRica","whynotMedical_nomoney"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_denied"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_denied"
2021,"Q3","CostaRica","whynotMedical_nomoney"
2021,"Q3","CostaRica","whynotMedical_nomoney"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_denied"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_notavailable"
2021,"Q3","CostaRica","whynotMedical_feararrested"
2021,"Q3","CostaRica","whynotMedical_nomoney"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_noinfo"
2021,"Q3","CostaRica","whynotMedical_nomoney"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_noID"
2021,"Q3","CostaRica","whynotMedical_noID"
2021,"Q3","CostaRica","whynotMedical_denied"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_noID"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_nomoney"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_nomoney"
2021,"Q3","CostaRica","whynotMedical_noinfo"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_noID"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_noID"
2021,"Q3","CostaRica","whynotMedical_nomoney"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_noinfo"
2021,"Q3","CostaRica","whynotMedical_nomoney"
2021,"Q3","CostaRica","whynotMedical_noID"
2021,"Q3","CostaRica","whynotMedical_denied"
2021,"Q3","CostaRica","whynotMedical_noID"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_nomoney"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_noID"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_noID"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_nomoney"
2021,"Q3","CostaRica","whynotMedical_nomoney"
2021,"Q3","CostaRica","whynotMedical_noID"
2021,"Q3","CostaRica","whynotMedical_nomoney"
2021,"Q3","CostaRica","whynotMedical_distance"
2021,"Q3","CostaRica","whynotMedical_nomoney"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_nomoney"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_nomoney"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_nomoney"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_denied"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_nomoney"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_denied"
2021,"Q3","CostaRica","whynotMedical_nomoney"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_nomoney"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_noID"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_nomoney"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_noID"
2021,"Q3","CostaRica","whynotMedical_denied"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_noID"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_denied"
2021,"Q3","CostaRica","whynotMedical_nomoney"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_noinfo"
2021,"Q3","CostaRica","whynotMedical_nomoney"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_nomoney"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_denied"
2021,"Q3","CostaRica","whynotMedical_nomoney"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_nomoney"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_noID"
2021,"Q3","CostaRica","whynotMedical_noID"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_nomoney"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_nomoney"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_noID"
2021,"Q3","CostaRica","whynotMedical_noinfo"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_nomoney"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_nomoney"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_nomoney"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_denied"
2021,"Q3","CostaRica","whynotMedical_notavailable"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_noID"
2021,"Q3","CostaRica","whynotMedical_denied"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_nomoney"
2021,"Q3","CostaRica","whynotMedical_noinsurance"
2021,"Q3","CostaRica","whynotMedical_nomoney"
2021,"Q3","CostaRica","whynotMedical_noinfo"
2021,"Q4","CostaRica","whynotMedical_nomoney"
2021,"Q4","CostaRica","whynotMedical_noinsurance"
2021,"Q4","CostaRica","whynotMedical_noID"
2021,"Q4","CostaRica","whynotMedical_noinsurance"
2021,"Q4","CostaRica","whynotMedical_nomoney"
2021,"Q4","CostaRica","whynotMedical_noinsurance"
2021,"Q4","CostaRica","whynotMedical_nomoney"
2021,"Q4","CostaRica","whynotMedical_noinsurance"
2021,"Q4","CostaRica","whynotMedical_noID"
2021,"Q4","CostaRica","whynotMedical_noinsurance"
2021,"Q4","CostaRica","whynotMedical_noID"
2021,"Q4","CostaRica","whynotMedical_distance"
2021,"Q4","CostaRica","whynotMedical_denied"
2021,"Q4","CostaRica","whynotMedical_nomoney"
2021,"Q4","CostaRica","whynotMedical_noinfo"
2021,"Q4","CostaRica","whynotMedical_noinsurance"
2021,"Q4","CostaRica","whynotMedical_nomoney"
2021,"Q4","CostaRica","whynotMedical_noID"
2021,"Q4","CostaRica","whynotMedical_denied"
2021,"Q4","CostaRica","whynotMedical_denied"
2021,"Q4","CostaRica","whynotMedical_noID"
2021,"Q4","CostaRica","whynotMedical_noinsurance"
2021,"Q4","CostaRica","whynotMedical_nomoney"
2021,"Q4","CostaRica","whynotMedical_noinsurance"
2021,"Q4","CostaRica","whynotMedical_nomoney"
2021,"Q4","CostaRica","whynotMedical_noID"
2021,"Q4","CostaRica","whynotMedical_noinsurance"
2021,"Q4","CostaRica","whynotMedical_noinsurance"
2021,"Q4","CostaRica","whynotMedical_noinsurance"
2021,"Q4","CostaRica","whynotMedical_noID"
2021,"Q4","CostaRica","whynotMedical_noinsurance"
2021,"Q4","CostaRica","whynotMedical_nomoney"
2021,"Q4","CostaRica","whynotMedical_noinsurance"
2021,"Q4","CostaRica","whynotMedical_noID"
2021,"Q4","CostaRica","whynotMedical_noinsurance"
2021,"Q4","CostaRica","whynotMedical_notavailable"
2021,"Q4","CostaRica","whynotMedical_nomoney"
2021,"Q4","CostaRica","whynotMedical_noinsurance"
2021,"Q4","CostaRica","whynotMedical_nomoney"
2021,"Q4","CostaRica","whynotMedical_noinsurance"
2021,"Q4","CostaRica","whynotMedical_noinfo"
2021,"Q4","CostaRica","whynotMedical_noinsurance"
2021,"Q4","CostaRica","whynotMedical_noinsurance"
2021,"Q4","CostaRica","whynotMedical_noinsurance"
2021,"Q4","CostaRica","whynotMedical_noinfo"
2021,"Q4","CostaRica","whynotMedical_nomoney"
2021,"Q4","CostaRica","whynotMedical_noinsurance"
2021,"Q4","CostaRica","whynotMedical_nomoney"
2021,"Q4","CostaRica","whynotMedical_nomoney"
2021,"Q4","CostaRica","whynotMedical_noinsurance"
2021,"Q4","CostaRica","whynotMedical_noID"
2021,"Q4","CostaRica","whynotMedical_noinfo"
2021,"Q4","CostaRica","whynotMedical_noinsurance"
2021,"Q4","CostaRica","whynotMedical_noinsurance"
2021,"Q4","CostaRica","whynotMedical_noinsurance"
2021,"Q4","CostaRica","whynotMedical_notavailable"
2021,"Q4","CostaRica","whynotMedical_noinsurance"
2021,"Q4","CostaRica","whynotMedical_noinsurance"
2021,"Q4","CostaRica","whynotMedical_noID"
2021,"Q4","CostaRica","whynotMedical_noinsurance"
2021,"Q4","CostaRica","whynotMedical_notavailable"
2021,"Q4","CostaRica","whynotMedical_noinsurance"
2021,"Q4","CostaRica","whynotMedical_noID"
2021,"Q4","CostaRica","whynotMedical_noinsurance"
2021,"Q4","CostaRica","whynotMedical_noID"
2021,"Q4","CostaRica","whynotMedical_noinfo"
2021,"Q4","CostaRica","whynotMedical_nomoney"
2021,"Q4","CostaRica","whynotMedical_noinsurance"
2021,"Q4","CostaRica","whynotMedical_noinsurance"
2021,"Q4","CostaRica","whynotMedical_noinsurance"
2021,"Q4","CostaRica","whynotMedical_noinsurance"
2021,"Q4","CostaRica","whynotMedical_nomoney"
2021,"Q4","CostaRica","whynotMedical_noinsurance"
2021,"Q4","CostaRica","whynotMedical_denied"
2021,"Q4","CostaRica","whynotMedical_noinsurance"
2021,"Q4","CostaRica","whynotMedical_noinsurance"
2021,"Q4","CostaRica","whynotMedical_noID"
2021,"Q4","CostaRica","whynotMedical_nomoney"
2021,"Q4","CostaRica","whynotMedical_nomoney"
2021,"Q4","CostaRica","whynotMedical_noinsurance"
2021,"Q4","CostaRica","whynotMedical_nomoney"
2021,"Q4","CostaRica","whynotMedical_noinsurance"
2021,"Q4","CostaRica","whynotMedical_noinsurance"
2021,"Q4","CostaRica","whynotMedical_nomoney"
2021,"Q4","CostaRica","whynotMedical_noinsurance"
2021,"Q4","CostaRica","whynotMedical_noinsurance"
2021,"Q4","CostaRica","whynotMedical_noID"
2021,"Q4","CostaRica","whynotMedical_noID"
2021,"Q4","CostaRica","whynotMedical_noinfo"
2021,"Q4","CostaRica","whynotMedical_nomoney"
2021,"Q4","CostaRica","whynotMedical_noinsurance"
2021,"Q4","CostaRica","whynotMedical_noinsurance"
2021,"Q4","CostaRica","whynotMedical_noinfo"
2021,"Q4","CostaRica","whynotMedical_distance"
2021,"Q4","CostaRica","whynotMedical_noinsurance"
2021,"Q4","CostaRica","whynotMedical_noinfo"
2021,"Q4","CostaRica","whynotMedical_noinsurance"
2021,"Q4","CostaRica","whynotMedical_noID"
2021,"Q4","CostaRica","whynotMedical_noID"
2021,"Q4","CostaRica","whynotMedical_nomoney"
2021,"Q4","CostaRica","whynotMedical_noinsurance"
2021,"Q4","CostaRica","whynotMedical_nomoney"
2021,"Q4","CostaRica","whynotMedical_noinsurance"
2021,"Q4","CostaRica","whynotMedical_noID"
2021,"Q4","CostaRica","whynotMedical_noinfo"
2021,"Q4","CostaRica","whynotMedical_noinsurance"
2021,"Q4","CostaRica","whynotMedical_noinsurance"
2021,"Q4","CostaRica","whynotMedical_nomoney"
2021,"Q4","CostaRica","whynotMedical_noinsurance"
2021,"Q4","CostaRica","whynotMedical_noinsurance"
2021,"Q4","CostaRica","whynotMedical_noinsurance"
2021,"Q4","CostaRica","whynotMedical_noinsurance"
2021,"Q4","CostaRica","whynotMedical_noID"
2021,"Q4","CostaRica","whynotMedical_noinsurance"
2021,"Q4","CostaRica","whynotMedical_noinsurance"
2021,"Q4","CostaRica","whynotMedical_denied"
2021,"Q4","CostaRica","whynotMedical_nomoney"
2021,"Q4","CostaRica","whynotMedical_noinsurance"
2021,"Q4","CostaRica","whynotMedical_noinsurance"
2021,"Q4","CostaRica","whynotMedical_noID"
2021,"Q4","CostaRica","whynotMedical_noinsurance"
2021,"Q4","CostaRica","whynotMedical_nomoney"
2021,"Q4","CostaRica","whynotMedical_noinsurance"
2021,"Q4","CostaRica","whynotMedical_noID"
2021,"Q4","CostaRica","whynotMedical_notavailable"
2021,"Q4","CostaRica","whynotMedical_noinsurance"
2021,"Q4","CostaRica","whynotMedical_noID"
2021,"Q4","CostaRica","whynotMedical_denied"
2021,"Q4","CostaRica","whynotMedical_nomoney"
2021,"Q4","CostaRica","whynotMedical_noinsurance"
2021,"Q4","CostaRica","whynotMedical_denied"
2021,"Q4","CostaRica","whynotMedical_nomoney"
2021,"Q4","CostaRica","whynotMedical_noinsurance"
2021,"Q4","CostaRica","whynotMedical_noinsurance"
2021,"Q4","CostaRica","whynotMedical_noID"
2021,"Q4","CostaRica","whynotMedical_denied"
2021,"Q4","CostaRica","whynotMedical_noinsurance"
2021,"Q4","CostaRica","whynotMedical_nomoney"
2021,"Q4","CostaRica","whynotMedical_noinsurance"
