"ID","Year","Quarter","CountryofAsylum","nationality","ethnicity","intentionmove","TotalAdult","TotalMinor","AppliedRefugee","documentation_id","Childinschool","Childvirtualed","disabilityacc_disabilityserv","medicalReceived","RiskYes","RiskReturn_medical","RiskStay_medical"
1,2020,"Q4","Ecuador","venezuela","mixed","stay",NA,NA,"yes",1,"yes","no",NA,"StronglyAgree","StronglyAgree",0,NA
2,2020,"Q4","Ecuador","colombia","mixed","stay",4,1,"yes",1,"yes","no",NA,"StronglyAgree","StronglyAgree",0,NA
3,2020,"Q4","Ecuador","venezuela","other","stay",2,1,"",1,"no","",NA,"","StronglyAgree",0,NA
4,2020,"Q4","Ecuador","venezuela","mixed","stay",2,1,"yes",1,"","",NA,"StronglyAgree","StronglyAgree",0,NA
5,2020,"Q4","Ecuador","venezuela","mixed","relocate",2,2,"yes",0,"yes","no",NA,"Agree","Disagree",NA,NA
6,2020,"Q4","Ecuador","venezuela","other","stay",1,2,"yes",1,"no","",NA,"","Disagree",NA,NA
7,2020,"Q4","Ecuador","","mixed","stay",1,0,"",1,"","",NA,"","StronglyDisagree",NA,NA
8,2020,"Q4","Ecuador","venezuela","","stay",3,2,"nointention",1,"yes","no",NA,"StronglyAgree","Agree",1,NA
9,2020,"Q4","Ecuador","venezuela","","stay",3,3,"yes",0,"yes","no",NA,"","Disagree",NA,NA
10,2020,"Q4","Ecuador","venezuela","","stay",2,1,"yes",0,"yes","no",NA,"","Agree",1,NA
11,2020,"Q4","Ecuador","venezuela","","dontknow",2,1,"nointention",1,"","",NA,"","StronglyDisagree",NA,NA
12,2020,"Q4","Ecuador","venezuela","","stay",2,3,"nointention",1,"no","",NA,"StronglyAgree","Agree",0,NA
13,2020,"Q4","Ecuador","","","stay",1,1,"yes",0,"yes","yes",NA,"Agree","StronglyAgree",0,NA
14,2020,"Q4","Ecuador","","mixed","stay",1,0,"",1,"","",NA,"Agree","StronglyAgree",1,NA
15,2020,"Q4","Ecuador","venezuela","other","stay",2,2,"nointention",0,"yes","yes",NA,"StronglyAgree","Agree",0,NA
16,2020,"Q4","Ecuador","venezuela","","relocate",1,0,"nointention",1,"","",NA,"","Undecided",NA,NA
17,2020,"Q4","Ecuador","venezuela","","stay",2,4,"yes",1,"yes","no",NA,"StronglyAgree","StronglyAgree",1,NA
18,2020,"Q4","Ecuador","venezuela","mixed","stay",2,0,"yes",1,"","",NA,"","StronglyAgree",1,NA
19,2020,"Q4","Ecuador","venezuela","mixed","stay",2,1,"nointention",1,"","",NA,"StronglyAgree","Agree",1,NA
20,2020,"Q4","Ecuador","venezuela","mixed","stay",4,5,"nointention",1,"yes","no",NA,"Disagree","Agree",0,NA
21,2020,"Q4","Ecuador","venezuela","other","stay",2,2,"nointention",1,"yes","yes",NA,"StronglyAgree","StronglyAgree",1,NA
