"Year","Quarter","CountryofAsylum","Reasons"
2020,"Q4","Ecuador","whynotMedical_denied"
2020,"Q4","Ecuador","whynotMedical_noID"
2020,"Q4","Ecuador","whynotMedical_notavailable"
2020,"Q4","Ecuador","whynotMedical_nomoney"
2020,"Q4","Ecuador","whynotMedical_noinsurance"
2020,"Q4","Ecuador","whynotMedical_nomoney"
2020,"Q4","Ecuador","whynotMedical_denied"
2020,"Q4","Ecuador","whynotMedical_noID"
2020,"Q4","Ecuador","whynotMedical_noinfo"
2020,"Q4","Ecuador","whynotMedical_denied"
2020,"Q4","Ecuador","whynotMedical_denied"
2020,"Q4","Ecuador","whynotMedical_denied"
2020,"Q4","Ecuador","whynotMedical_nomoney"
2020,"Q4","Ecuador","whynotMedical_notavailable"
2020,"Q4","Ecuador","whynotMedical_notavailable"
2020,"Q4","Ecuador","whynotMedical_denied"
2020,"Q4","Ecuador","whynotMedical_nomoney"
2020,"Q4","Ecuador","whynotMedical_distance"
2020,"Q4","Ecuador","whynotMedical_denied"
2020,"Q4","Ecuador","whynotMedical_notavailable"
2020,"Q4","Ecuador","whynotMedical_nomoney"
2020,"Q4","Ecuador","whynotMedical_nomoney"
2020,"Q4","Ecuador","whynotMedical_distance"
2020,"Q4","Ecuador","whynotMedical_noinfo"
2020,"Q4","Ecuador","whynotMedical_notavailable"
2020,"Q4","Ecuador","whynotMedical_distance"
2020,"Q4","Ecuador","whynotMedical_nomoney"
2020,"Q4","Ecuador","whynotMedical_noinfo"
2020,"Q4","Ecuador","whynotMedical_denied"
2020,"Q4","Ecuador","whynotMedical_denied"
2020,"Q4","Ecuador","whynotMedical_notavailable"
2020,"Q4","Ecuador","whynotMedical_denied"
2020,"Q4","Ecuador","whynotMedical_notavailable"
2020,"Q4","Ecuador","whynotMedical_noinfo"
2020,"Q4","Ecuador","whynotMedical_notavailable"
2020,"Q4","Ecuador","whynotMedical_denied"
2020,"Q4","Ecuador","whynotMedical_denied"
2020,"Q4","Ecuador","whynotMedical_noID"
2021,"Q1Q2","Ecuador","whynotMedical_nomoney"
2021,"Q1Q2","Ecuador","whynotMedical_noinfo"
2021,"Q1Q2","Ecuador","whynotMedical_notavailable"
2021,"Q1Q2","Ecuador","whynotMedical_noinfo"
2021,"Q1Q2","Ecuador","whynotMedical_nomoney"
2021,"Q1Q2","Ecuador","whynotMedical_denied"
2021,"Q1Q2","Ecuador","whynotMedical_distance"
2021,"Q1Q2","Ecuador","whynotMedical_denied"
2021,"Q1Q2","Ecuador","whynotMedical_denied"
2021,"Q1Q2","Ecuador","whynotMedical_notavailable"
2021,"Q1Q2","Ecuador","whynotMedical_nomoney"
2021,"Q1Q2","Ecuador","whynotMedical_noinsurance"
2021,"Q1Q2","Ecuador","whynotMedical_notavailable"
2021,"Q1Q2","Ecuador","whynotMedical_nomoney"
2021,"Q1Q2","Ecuador","whynotMedical_nomoney"
2021,"Q1Q2","Ecuador","whynotMedical_noinsurance"
2021,"Q1Q2","Ecuador","whynotMedical_nomoney"
2021,"Q1Q2","Ecuador","whynotMedical_noID"
2021,"Q1Q2","Ecuador","whynotMedical_distance"
2021,"Q1Q2","Ecuador","whynotMedical_notavailable"
2021,"Q1Q2","Ecuador","whynotMedical_denied"
2021,"Q1Q2","Ecuador","whynotMedical_nomoney"
2021,"Q1Q2","Ecuador","whynotMedical_nomoney"
2021,"Q1Q2","Ecuador","whynotMedical_noinfo"
2021,"Q1Q2","Ecuador","whynotMedical_denied"
2021,"Q1Q2","Ecuador","whynotMedical_distance"
2021,"Q1Q2","Ecuador","whynotMedical_nomoney"
2021,"Q1Q2","Ecuador","whynotMedical_noinsurance"
2021,"Q1Q2","Ecuador","whynotMedical_denied"
2021,"Q1Q2","Ecuador","whynotMedical_denied"
2021,"Q1Q2","Ecuador","whynotMedical_noinsurance"
2021,"Q1Q2","Ecuador","whynotMedical_denied"
2021,"Q1Q2","Ecuador","whynotMedical_notavailable"
2021,"Q1Q2","Ecuador","whynotMedical_denied"
2021,"Q1Q2","Ecuador","whynotMedical_notavailable"
2021,"Q1Q2","Ecuador","whynotMedical_denied"
2021,"Q1Q2","Ecuador","whynotMedical_noinfo"
2021,"Q1Q2","Ecuador","whynotMedical_notavailable"
2021,"Q1Q2","Ecuador","whynotMedical_denied"
2021,"Q1Q2","Ecuador","whynotMedical_nomoney"
2021,"Q1Q2","Ecuador","whynotMedical_noinsurance"
2021,"Q1Q2","Ecuador","whynotMedical_noID"
2021,"Q1Q2","Ecuador","whynotMedical_denied"
2021,"Q1Q2","Ecuador","whynotMedical_noID"
2021,"Q1Q2","Ecuador","whynotMedical_noinfo"
2021,"Q1Q2","Ecuador","whynotMedical_denied"
2021,"Q1Q2","Ecuador","whynotMedical_noID"
2021,"Q1Q2","Ecuador","whynotMedical_denied"
2021,"Q1Q2","Ecuador","whynotMedical_nomoney"
2021,"Q1Q2","Ecuador","whynotMedical_nomoney"
2021,"Q1Q2","Ecuador","whynotMedical_notavailable"
2021,"Q1Q2","Ecuador","whynotMedical_noinfo"
2021,"Q1Q2","Ecuador","whynotMedical_noinsurance"
2021,"Q1Q2","Ecuador","whynotMedical_noinfo"
2021,"Q1Q2","Ecuador","whynotMedical_distance"
2021,"Q1Q2","Ecuador","whynotMedical_noID"
2021,"Q1Q2","Ecuador","whynotMedical_denied"
2021,"Q1Q2","Ecuador","whynotMedical_noID"
2021,"Q1Q2","Ecuador","whynotMedical_denied"
2021,"Q1Q2","Ecuador","whynotMedical_nomoney"
2021,"Q1Q2","Ecuador","whynotMedical_denied"
2021,"Q1Q2","Ecuador","whynotMedical_notavailable"
2021,"Q1Q2","Ecuador","whynotMedical_denied"
2021,"Q1Q2","Ecuador","whynotMedical_denied"
2021,"Q1Q2","Ecuador","whynotMedical_notavailable"
2021,"Q1Q2","Ecuador","whynotMedical_notavailable"
2021,"Q1Q2","Ecuador","whynotMedical_denied"
2021,"Q1Q2","Ecuador","whynotMedical_nomoney"
2021,"Q1Q2","Ecuador","whynotMedical_notavailable"
2021,"Q1Q2","Ecuador","whynotMedical_nomoney"
2021,"Q1Q2","Ecuador","whynotMedical_denied"
2021,"Q1Q2","Ecuador","whynotMedical_nomoney"
2021,"Q1Q2","Ecuador","whynotMedical_noID"
2021,"Q1Q2","Ecuador","whynotMedical_notavailable"
2021,"Q1Q2","Ecuador","whynotMedical_nomoney"
2021,"Q1Q2","Ecuador","whynotMedical_noinsurance"
2021,"Q1Q2","Ecuador","whynotMedical_noID"
2021,"Q1Q2","Ecuador","whynotMedical_denied"
2021,"Q1Q2","Ecuador","whynotMedical_notavailable"
2021,"Q1Q2","Ecuador","whynotMedical_nomoney"
2021,"Q1Q2","Ecuador","whynotMedical_denied"
