"Year","Quarter","CountryofAsylum","Reasons"
2020,"Q4","Ecuador","Childwhynotschool_nomoney"
2020,"Q4","Ecuador","Childwhynotschool_nodocs"
2020,"Q4","Ecuador","Childwhynotschool_nomoney"
2020,"Q4","Ecuador","Childwhynotschool_nospot"
2020,"Q4","Ecuador","Childwhynotschool_nomoney"
2020,"Q4","Ecuador","Childwhynotschool_nodocs"
2020,"Q4","Ecuador","Childwhynotschool_nomoney"
2020,"Q4","Ecuador","Childwhynotschool_nomoney"
2020,"Q4","Ecuador","Childwhynotschool_nodocs"
2020,"Q4","Ecuador","Childwhynotschool_nomoney"
2020,"Q4","Ecuador","Childwhynotschool_noinfo"
2020,"Q4","Ecuador","Childwhynotschool_recentlyarrive"
2020,"Q4","Ecuador","Childwhynotschool_nomoney"
2020,"Q4","Ecuador","Childwhynotschool_noinfo"
2020,"Q4","Ecuador","Childwhynotschool_nomoney"
2020,"Q4","Ecuador","Childwhynotschool_nomoney"
2020,"Q4","Ecuador","Childwhynotschool_nomoney"
2020,"Q4","Ecuador","Childwhynotschool_nomoney"
2020,"Q4","Ecuador","Childwhynotschool_nodocs"
2020,"Q4","Ecuador","Childwhynotschool_nomoney"
2020,"Q4","Ecuador","Childwhynotschool_nomoney"
2020,"Q4","Ecuador","Childwhynotschool_childwork"
2020,"Q4","Ecuador","Childwhynotschool_nodocs"
2020,"Q4","Ecuador","Childwhynotschool_nomoney"
2020,"Q4","Ecuador","Childwhynotschool_nomoney"
2020,"Q4","Ecuador","Childwhynotschool_nodocs"
2020,"Q4","Ecuador","Childwhynotschool_noschools"
2020,"Q4","Ecuador","Childwhynotschool_nomoney"
2020,"Q4","Ecuador","Childwhynotschool_nospot"
2020,"Q4","Ecuador","Childwhynotschool_nodocs"
2020,"Q4","Ecuador","Childwhynotschool_nomoney"
2020,"Q4","Ecuador","Childwhynotschool_nomoney"
2020,"Q4","Ecuador","Childwhynotschool_nomoney"
2020,"Q4","Ecuador","Childwhynotschool_nodocs"
2020,"Q4","Ecuador","Childwhynotschool_nomoney"
2020,"Q4","Ecuador","Childwhynotschool_nodocs"
2020,"Q4","Ecuador","Childwhynotschool_recentlyarrive"
2020,"Q4","Ecuador","Childwhynotschool_nodocs"
2020,"Q4","Ecuador","Childwhynotschool_nomoney"
2020,"Q4","Ecuador","Childwhynotschool_nodocs"
2020,"Q4","Ecuador","Childwhynotschool_nomoney"
2020,"Q4","Ecuador","Childwhynotschool_nomoney"
2020,"Q4","Ecuador","Childwhynotschool_fearschool"
2020,"Q4","Ecuador","Childwhynotschool_recentlyarrive"
2020,"Q4","Ecuador","Childwhynotschool_toolate"
2020,"Q4","Ecuador","Childwhynotschool_nomoney"
2020,"Q4","Ecuador","Childwhynotschool_nodocs"
2020,"Q4","Ecuador","Childwhynotschool_nomoney"
2020,"Q4","Ecuador","Childwhynotschool_nospot"
2020,"Q4","Ecuador","Childwhynotschool_toolate"
2020,"Q4","Ecuador","Childwhynotschool_nodocs"
2020,"Q4","Ecuador","Childwhynotschool_toolate"
2020,"Q4","Ecuador","Childwhynotschool_nodocs"
2020,"Q4","Ecuador","Childwhynotschool_nospot"
2020,"Q4","Ecuador","Childwhynotschool_toolate"
