"Year","Quarter","CountryofAsylum","Reasons"
2021,"Q1Q2","Guatemala","Childwhynotschool_toolate"
2021,"Q1Q2","Guatemala","Childwhynotschool_nointerest"
2021,"Q1Q2","Guatemala","Childwhynotschool_recentlyarrive"
2021,"Q1Q2","Guatemala","Childwhynotschool_nodocs"
2021,"Q1Q2","Guatemala","Childwhynotschool_nomoney"
2021,"Q1Q2","Guatemala","Childwhynotschool_failedschool"
2021,"Q1Q2","Guatemala","Childwhynotschool_disability"
2021,"Q1Q2","Guatemala","Childwhynotschool_noinfo"
2021,"Q1Q2","Guatemala","Childwhynotschool_nodocs"
2021,"Q1Q2","Guatemala","Childwhynotschool_nomoney"
2021,"Q1Q2","Guatemala","Childwhynotschool_nomoney"
2021,"Q1Q2","Guatemala","Childwhynotschool_noinfo"
2021,"Q1Q2","Guatemala","Childwhynotschool_nomoney"
2021,"Q1Q2","Guatemala","Childwhynotschool_noschools"
2021,"Q1Q2","Guatemala","Childwhynotschool_fearschool"
2021,"Q1Q2","Guatemala","Childwhynotschool_nomoney"
2021,"Q1Q2","Guatemala","Childwhynotschool_recentlyarrive"
2021,"Q1Q2","Guatemala","Childwhynotschool_noinfo"
2021,"Q1Q2","Guatemala","Childwhynotschool_nomoney"
2021,"Q1Q2","Guatemala","Childwhynotschool_noinfo"
2021,"Q1Q2","Guatemala","Childwhynotschool_nomoney"
2021,"Q1Q2","Guatemala","Childwhynotschool_nointerest"
2021,"Q1Q2","Guatemala","Childwhynotschool_nomoney"
2021,"Q1Q2","Guatemala","Childwhynotschool_nomoney"
2021,"Q1Q2","Guatemala","Childwhynotschool_nomoney"
2021,"Q1Q2","Guatemala","Childwhynotschool_nomoney"
2021,"Q1Q2","Guatemala","Childwhynotschool_noinfo"
2021,"Q1Q2","Guatemala","Childwhynotschool_nodocs"
2021,"Q1Q2","Guatemala","Childwhynotschool_nomoney"
2021,"Q1Q2","Guatemala","Childwhynotschool_recentlyarrive"
2021,"Q1Q2","Guatemala","Childwhynotschool_nomoney"
2021,"Q1Q2","Guatemala","Childwhynotschool_nodocs"
2021,"Q1Q2","Guatemala","Childwhynotschool_nomoney"
2021,"Q1Q2","Guatemala","Childwhynotschool_noinfo"
2021,"Q1Q2","Guatemala","Childwhynotschool_nodocs"
2021,"Q1Q2","Guatemala","Childwhynotschool_nomoney"
2021,"Q1Q2","Guatemala","Childwhynotschool_noinfo"
2021,"Q1Q2","Guatemala","Childwhynotschool_nomoney"
2021,"Q1Q2","Guatemala","Childwhynotschool_notransport"
2021,"Q1Q2","Guatemala","Childwhynotschool_noinfo"
2021,"Q1Q2","Guatemala","Childwhynotschool_nodocs"
2021,"Q1Q2","Guatemala","Childwhynotschool_nomoney"
2021,"Q1Q2","Guatemala","Childwhynotschool_nodocs"
2021,"Q1Q2","Guatemala","Childwhynotschool_nospot"
2021,"Q1Q2","Guatemala","Childwhynotschool_noschools"
2021,"Q1Q2","Guatemala","Childwhynotschool_notransport"
2021,"Q1Q2","Guatemala","Childwhynotschool_toolate"
2021,"Q1Q2","Guatemala","Childwhynotschool_noinfo"
2021,"Q1Q2","Guatemala","Childwhynotschool_recentlyarrive"
2021,"Q1Q2","Guatemala","Childwhynotschool_nodocs"
2021,"Q1Q2","Guatemala","Childwhynotschool_nomoney"
2021,"Q1Q2","Guatemala","Childwhynotschool_notransport"
2021,"Q1Q2","Guatemala","Childwhynotschool_discrimnation"
2021,"Q1Q2","Guatemala","Childwhynotschool_nodocs"
2021,"Q1Q2","Guatemala","Childwhynotschool_noinfo"
2021,"Q3","Guatemala","Childwhynotschool_finished"
2021,"Q3","Guatemala","Childwhynotschool_nomoney"
2021,"Q3","Guatemala","Childwhynotschool_nomoney"
2021,"Q3","Guatemala","Childwhynotschool_nomoney"
2021,"Q3","Guatemala","Childwhynotschool_childwork"
2021,"Q3","Guatemala","Childwhynotschool_nointerest"
2021,"Q3","Guatemala","Childwhynotschool_nomoney"
2021,"Q3","Guatemala","Childwhynotschool_childwork"
2021,"Q3","Guatemala","Childwhynotschool_nomoney"
2021,"Q3","Guatemala","Childwhynotschool_nomoney"
2021,"Q3","Guatemala","Childwhynotschool_childwork"
2021,"Q3","Guatemala","Childwhynotschool_familynot"
2021,"Q3","Guatemala","Childwhynotschool_recentlyarrive"
2021,"Q3","Guatemala","Childwhynotschool_nodocs"
2021,"Q3","Guatemala","Childwhynotschool_nomoney"
2021,"Q3","Guatemala","Childwhynotschool_nomoney"
2021,"Q3","Guatemala","Childwhynotschool_nomoney"
2021,"Q3","Guatemala","Childwhynotschool_disability"
2021,"Q3","Guatemala","Childwhynotschool_nomoney"
2021,"Q3","Guatemala","Childwhynotschool_nomoney"
2021,"Q3","Guatemala","Childwhynotschool_childwork"
2021,"Q3","Guatemala","Childwhynotschool_nomoney"
2021,"Q3","Guatemala","Childwhynotschool_fearschool"
2021,"Q3","Guatemala","Childwhynotschool_nodocs"
2021,"Q3","Guatemala","Childwhynotschool_nodocs"
2021,"Q3","Guatemala","Childwhynotschool_nomoney"
2021,"Q3","Guatemala","Childwhynotschool_fearschool"
2021,"Q3","Guatemala","Childwhynotschool_discrimnation"
2021,"Q3","Guatemala","Childwhynotschool_nomoney"
2021,"Q3","Guatemala","Childwhynotschool_nodocs"
2021,"Q3","Guatemala","Childwhynotschool_nomoney"
2021,"Q3","Guatemala","Childwhynotschool_nomoney"
2021,"Q3","Guatemala","Childwhynotschool_failedschool"
2021,"Q3","Guatemala","Childwhynotschool_nointerest"
2021,"Q3","Guatemala","Childwhynotschool_nomoney"
2021,"Q3","Guatemala","Childwhynotschool_disease"
2021,"Q3","Guatemala","Childwhynotschool_nomoney"
2021,"Q3","Guatemala","Childwhynotschool_nomoney"
2021,"Q3","Guatemala","Childwhynotschool_failedschool"
2021,"Q3","Guatemala","Childwhynotschool_nointerest"
2021,"Q3","Guatemala","Childwhynotschool_nomoney"
2021,"Q3","Guatemala","Childwhynotschool_nointerest"
2021,"Q3","Guatemala","Childwhynotschool_nodocs"
2021,"Q3","Guatemala","Childwhynotschool_nomoney"
2021,"Q3","Guatemala","Childwhynotschool_nomoney"
