"Year","Quarter","CountryofAsylum","Reasons"
2021,"Q4","Honduras","whynotMedical_nomoney"
2021,"Q4","Honduras","whynotMedical_noinsurance"
2021,"Q4","Honduras","whynotMedical_noID"
2021,"Q4","Honduras","whynotMedical_noinfo"
2021,"Q4","Honduras","whynotMedical_feararrested"
2021,"Q4","Honduras","whynotMedical_distance"
2021,"Q4","Honduras","whynotMedical_notavailable"
2021,"Q4","Honduras","whynotMedical_denied"
2021,"Q4","Honduras","whynotMedical_nomoney"
2021,"Q4","Honduras","whynotMedical_noinsurance"
2021,"Q4","Honduras","whynotMedical_noID"
2021,"Q4","Honduras","whynotMedical_noinfo"
2021,"Q4","Honduras","whynotMedical_feararrested"
2021,"Q4","Honduras","whynotMedical_distance"
2021,"Q4","Honduras","whynotMedical_notavailable"
2021,"Q4","Honduras","whynotMedical_denied"
2021,"Q4","Honduras","whynotMedical_nomoney"
2021,"Q4","Honduras","whynotMedical_noinsurance"
2021,"Q4","Honduras","whynotMedical_noID"
2021,"Q4","Honduras","whynotMedical_noinfo"
2021,"Q4","Honduras","whynotMedical_feararrested"
2021,"Q4","Honduras","whynotMedical_distance"
2021,"Q4","Honduras","whynotMedical_notavailable"
2021,"Q4","Honduras","whynotMedical_denied"
2021,"Q4","Honduras","whynotMedical_nomoney"
2021,"Q4","Honduras","whynotMedical_noinsurance"
2021,"Q4","Honduras","whynotMedical_noID"
2021,"Q4","Honduras","whynotMedical_noinfo"
2021,"Q4","Honduras","whynotMedical_feararrested"
2021,"Q4","Honduras","whynotMedical_distance"
2021,"Q4","Honduras","whynotMedical_notavailable"
2021,"Q4","Honduras","whynotMedical_denied"
2021,"Q4","Honduras","whynotMedical_nomoney"
2021,"Q4","Honduras","whynotMedical_noinsurance"
2021,"Q4","Honduras","whynotMedical_noID"
2021,"Q4","Honduras","whynotMedical_noinfo"
2021,"Q4","Honduras","whynotMedical_feararrested"
2021,"Q4","Honduras","whynotMedical_distance"
2021,"Q4","Honduras","whynotMedical_notavailable"
2021,"Q4","Honduras","whynotMedical_denied"
2021,"Q4","Honduras","whynotMedical_nomoney"
2021,"Q4","Honduras","whynotMedical_noinsurance"
2021,"Q4","Honduras","whynotMedical_noID"
2021,"Q4","Honduras","whynotMedical_noinfo"
2021,"Q4","Honduras","whynotMedical_feararrested"
2021,"Q4","Honduras","whynotMedical_distance"
2021,"Q4","Honduras","whynotMedical_notavailable"
2021,"Q4","Honduras","whynotMedical_denied"
2021,"Q4","Honduras","whynotMedical_nomoney"
2021,"Q4","Honduras","whynotMedical_noinsurance"
2021,"Q4","Honduras","whynotMedical_noID"
2021,"Q4","Honduras","whynotMedical_noinfo"
2021,"Q4","Honduras","whynotMedical_feararrested"
2021,"Q4","Honduras","whynotMedical_distance"
2021,"Q4","Honduras","whynotMedical_notavailable"
2021,"Q4","Honduras","whynotMedical_denied"
2021,"Q4","Honduras","whynotMedical_nomoney"
2021,"Q4","Honduras","whynotMedical_noinsurance"
2021,"Q4","Honduras","whynotMedical_noID"
2021,"Q4","Honduras","whynotMedical_noinfo"
2021,"Q4","Honduras","whynotMedical_feararrested"
2021,"Q4","Honduras","whynotMedical_distance"
2021,"Q4","Honduras","whynotMedical_notavailable"
2021,"Q4","Honduras","whynotMedical_denied"
2021,"Q4","Honduras","whynotMedical_nomoney"
2021,"Q4","Honduras","whynotMedical_noinsurance"
2021,"Q4","Honduras","whynotMedical_noID"
2021,"Q4","Honduras","whynotMedical_noinfo"
2021,"Q4","Honduras","whynotMedical_feararrested"
2021,"Q4","Honduras","whynotMedical_distance"
2021,"Q4","Honduras","whynotMedical_notavailable"
2021,"Q4","Honduras","whynotMedical_denied"
2021,"Q4","Honduras","whynotMedical_nomoney"
2021,"Q4","Honduras","whynotMedical_noinsurance"
2021,"Q4","Honduras","whynotMedical_noID"
2021,"Q4","Honduras","whynotMedical_noinfo"
2021,"Q4","Honduras","whynotMedical_feararrested"
2021,"Q4","Honduras","whynotMedical_distance"
2021,"Q4","Honduras","whynotMedical_notavailable"
2021,"Q4","Honduras","whynotMedical_denied"
2021,"Q4","Honduras","whynotMedical_nomoney"
2021,"Q4","Honduras","whynotMedical_noinsurance"
2021,"Q4","Honduras","whynotMedical_noID"
2021,"Q4","Honduras","whynotMedical_noinfo"
2021,"Q4","Honduras","whynotMedical_feararrested"
2021,"Q4","Honduras","whynotMedical_distance"
2021,"Q4","Honduras","whynotMedical_notavailable"
2021,"Q4","Honduras","whynotMedical_denied"
2021,"Q4","Honduras","whynotMedical_nomoney"
2021,"Q4","Honduras","whynotMedical_noinsurance"
2021,"Q4","Honduras","whynotMedical_noID"
2021,"Q4","Honduras","whynotMedical_noinfo"
2021,"Q4","Honduras","whynotMedical_feararrested"
2021,"Q4","Honduras","whynotMedical_distance"
2021,"Q4","Honduras","whynotMedical_notavailable"
2021,"Q4","Honduras","whynotMedical_denied"
2021,"Q4","Honduras","whynotMedical_nomoney"
2021,"Q4","Honduras","whynotMedical_noinsurance"
2021,"Q4","Honduras","whynotMedical_noID"
2021,"Q4","Honduras","whynotMedical_noinfo"
2021,"Q4","Honduras","whynotMedical_feararrested"
2021,"Q4","Honduras","whynotMedical_distance"
2021,"Q4","Honduras","whynotMedical_notavailable"
2021,"Q4","Honduras","whynotMedical_denied"
2021,"Q4","Honduras","whynotMedical_nomoney"
2021,"Q4","Honduras","whynotMedical_noinsurance"
2021,"Q4","Honduras","whynotMedical_noID"
2021,"Q4","Honduras","whynotMedical_noinfo"
2021,"Q4","Honduras","whynotMedical_feararrested"
2021,"Q4","Honduras","whynotMedical_distance"
2021,"Q4","Honduras","whynotMedical_notavailable"
2021,"Q4","Honduras","whynotMedical_denied"
2021,"Q4","Honduras","whynotMedical_nomoney"
2021,"Q4","Honduras","whynotMedical_noinsurance"
2021,"Q4","Honduras","whynotMedical_noID"
2021,"Q4","Honduras","whynotMedical_noinfo"
2021,"Q4","Honduras","whynotMedical_feararrested"
2021,"Q4","Honduras","whynotMedical_distance"
2021,"Q4","Honduras","whynotMedical_notavailable"
2021,"Q4","Honduras","whynotMedical_denied"
2021,"Q4","Honduras","whynotMedical_nomoney"
2021,"Q4","Honduras","whynotMedical_noinsurance"
2021,"Q4","Honduras","whynotMedical_noID"
2021,"Q4","Honduras","whynotMedical_noinfo"
2021,"Q4","Honduras","whynotMedical_feararrested"
2021,"Q4","Honduras","whynotMedical_distance"
2021,"Q4","Honduras","whynotMedical_notavailable"
2021,"Q4","Honduras","whynotMedical_denied"
2021,"Q4","Honduras","whynotMedical_nomoney"
2021,"Q4","Honduras","whynotMedical_noinsurance"
2021,"Q4","Honduras","whynotMedical_noID"
2021,"Q4","Honduras","whynotMedical_noinfo"
2021,"Q4","Honduras","whynotMedical_feararrested"
2021,"Q4","Honduras","whynotMedical_distance"
2021,"Q4","Honduras","whynotMedical_notavailable"
2021,"Q4","Honduras","whynotMedical_denied"
2021,"Q4","Honduras","whynotMedical_nomoney"
2021,"Q4","Honduras","whynotMedical_noinsurance"
2021,"Q4","Honduras","whynotMedical_noID"
2021,"Q4","Honduras","whynotMedical_noinfo"
2021,"Q4","Honduras","whynotMedical_feararrested"
2021,"Q4","Honduras","whynotMedical_distance"
2021,"Q4","Honduras","whynotMedical_notavailable"
2021,"Q4","Honduras","whynotMedical_denied"
2021,"Q4","Honduras","whynotMedical_nomoney"
2021,"Q4","Honduras","whynotMedical_noinsurance"
2021,"Q4","Honduras","whynotMedical_noID"
2021,"Q4","Honduras","whynotMedical_noinfo"
2021,"Q4","Honduras","whynotMedical_feararrested"
2021,"Q4","Honduras","whynotMedical_distance"
2021,"Q4","Honduras","whynotMedical_notavailable"
2021,"Q4","Honduras","whynotMedical_denied"
2021,"Q4","Honduras","whynotMedical_nomoney"
2021,"Q4","Honduras","whynotMedical_noinsurance"
2021,"Q4","Honduras","whynotMedical_noID"
2021,"Q4","Honduras","whynotMedical_noinfo"
2021,"Q4","Honduras","whynotMedical_feararrested"
2021,"Q4","Honduras","whynotMedical_distance"
2021,"Q4","Honduras","whynotMedical_notavailable"
2021,"Q4","Honduras","whynotMedical_denied"
2021,"Q4","Honduras","whynotMedical_nomoney"
2021,"Q4","Honduras","whynotMedical_noinsurance"
2021,"Q4","Honduras","whynotMedical_noID"
2021,"Q4","Honduras","whynotMedical_noinfo"
2021,"Q4","Honduras","whynotMedical_feararrested"
2021,"Q4","Honduras","whynotMedical_distance"
2021,"Q4","Honduras","whynotMedical_notavailable"
2021,"Q4","Honduras","whynotMedical_denied"
2021,"Q4","Honduras","whynotMedical_nomoney"
2021,"Q4","Honduras","whynotMedical_noinsurance"
2021,"Q4","Honduras","whynotMedical_noID"
2021,"Q4","Honduras","whynotMedical_noinfo"
2021,"Q4","Honduras","whynotMedical_feararrested"
2021,"Q4","Honduras","whynotMedical_distance"
2021,"Q4","Honduras","whynotMedical_notavailable"
2021,"Q4","Honduras","whynotMedical_denied"
2021,"Q4","Honduras","whynotMedical_nomoney"
2021,"Q4","Honduras","whynotMedical_noinsurance"
2021,"Q4","Honduras","whynotMedical_noID"
2021,"Q4","Honduras","whynotMedical_noinfo"
2021,"Q4","Honduras","whynotMedical_feararrested"
2021,"Q4","Honduras","whynotMedical_distance"
2021,"Q4","Honduras","whynotMedical_notavailable"
2021,"Q4","Honduras","whynotMedical_denied"
2021,"Q4","Honduras","whynotMedical_nomoney"
2021,"Q4","Honduras","whynotMedical_noinsurance"
2021,"Q4","Honduras","whynotMedical_noID"
2021,"Q4","Honduras","whynotMedical_noinfo"
2021,"Q4","Honduras","whynotMedical_feararrested"
2021,"Q4","Honduras","whynotMedical_distance"
2021,"Q4","Honduras","whynotMedical_notavailable"
2021,"Q4","Honduras","whynotMedical_denied"
2021,"Q4","Honduras","whynotMedical_nomoney"
2021,"Q4","Honduras","whynotMedical_noinsurance"
2021,"Q4","Honduras","whynotMedical_noID"
2021,"Q4","Honduras","whynotMedical_noinfo"
2021,"Q4","Honduras","whynotMedical_feararrested"
2021,"Q4","Honduras","whynotMedical_distance"
2021,"Q4","Honduras","whynotMedical_notavailable"
2021,"Q4","Honduras","whynotMedical_denied"
2021,"Q4","Honduras","whynotMedical_nomoney"
2021,"Q4","Honduras","whynotMedical_noinsurance"
2021,"Q4","Honduras","whynotMedical_noID"
2021,"Q4","Honduras","whynotMedical_noinfo"
2021,"Q4","Honduras","whynotMedical_feararrested"
2021,"Q4","Honduras","whynotMedical_distance"
2021,"Q4","Honduras","whynotMedical_notavailable"
2021,"Q4","Honduras","whynotMedical_denied"
2021,"Q4","Honduras","whynotMedical_nomoney"
2021,"Q4","Honduras","whynotMedical_noinsurance"
2021,"Q4","Honduras","whynotMedical_noID"
2021,"Q4","Honduras","whynotMedical_noinfo"
2021,"Q4","Honduras","whynotMedical_feararrested"
2021,"Q4","Honduras","whynotMedical_distance"
2021,"Q4","Honduras","whynotMedical_notavailable"
2021,"Q4","Honduras","whynotMedical_denied"
2021,"Q4","Honduras","whynotMedical_nomoney"
2021,"Q4","Honduras","whynotMedical_noinsurance"
2021,"Q4","Honduras","whynotMedical_noID"
2021,"Q4","Honduras","whynotMedical_noinfo"
2021,"Q4","Honduras","whynotMedical_feararrested"
2021,"Q4","Honduras","whynotMedical_distance"
2021,"Q4","Honduras","whynotMedical_notavailable"
2021,"Q4","Honduras","whynotMedical_denied"
2021,"Q4","Honduras","whynotMedical_nomoney"
2021,"Q4","Honduras","whynotMedical_noinsurance"
2021,"Q4","Honduras","whynotMedical_noID"
2021,"Q4","Honduras","whynotMedical_noinfo"
2021,"Q4","Honduras","whynotMedical_feararrested"
2021,"Q4","Honduras","whynotMedical_distance"
2021,"Q4","Honduras","whynotMedical_notavailable"
2021,"Q4","Honduras","whynotMedical_denied"
2021,"Q4","Honduras","whynotMedical_nomoney"
2021,"Q4","Honduras","whynotMedical_noinsurance"
