"Year","Quarter","CountryofAsylum","Reasons"
2021,"Q1Q2","Panama","whynotMedical_noinfo"
2021,"Q1Q2","Panama","whynotMedical_notavailable"
2021,"Q1Q2","Panama","whynotMedical_notavailable"
2021,"Q1Q2","Panama","whynotMedical_nomoney"
2021,"Q1Q2","Panama","whynotMedical_nomoney"
2021,"Q1Q2","Panama","whynotMedical_noID"
2021,"Q1Q2","Panama","whynotMedical_noinfo"
2021,"Q1Q2","Panama","whynotMedical_nomoney"
2021,"Q1Q2","Panama","whynotMedical_denied"
2021,"Q1Q2","Panama","whynotMedical_nomoney"
2021,"Q1Q2","Panama","whynotMedical_noID"
2021,"Q1Q2","Panama","whynotMedical_feararrested"
2021,"Q1Q2","Panama","whynotMedical_nomoney"
2021,"Q1Q2","Panama","whynotMedical_nomoney"
2021,"Q1Q2","Panama","whynotMedical_feararrested"
2021,"Q1Q2","Panama","whynotMedical_notavailable"
2021,"Q1Q2","Panama","whynotMedical_nomoney"
2021,"Q1Q2","Panama","whynotMedical_denied"
2021,"Q1Q2","Panama","whynotMedical_nomoney"
2021,"Q1Q2","Panama","whynotMedical_nomoney"
2021,"Q1Q2","Panama","whynotMedical_denied"
2021,"Q1Q2","Panama","whynotMedical_noinfo"
2021,"Q1Q2","Panama","whynotMedical_feararrested"
2021,"Q1Q2","Panama","whynotMedical_nomoney"
2021,"Q1Q2","Panama","whynotMedical_noinsurance"
2021,"Q1Q2","Panama","whynotMedical_nomoney"
2021,"Q1Q2","Panama","whynotMedical_noinsurance"
2021,"Q1Q2","Panama","whynotMedical_nomoney"
2021,"Q1Q2","Panama","whynotMedical_notavailable"
2021,"Q1Q2","Panama","whynotMedical_nomoney"
2021,"Q1Q2","Panama","whynotMedical_notavailable"
2021,"Q1Q2","Panama","whynotMedical_noinfo"
2021,"Q1Q2","Panama","whynotMedical_notavailable"
2021,"Q1Q2","Panama","whynotMedical_noinsurance"
2021,"Q1Q2","Panama","whynotMedical_denied"
2021,"Q1Q2","Panama","whynotMedical_denied"
2021,"Q1Q2","Panama","whynotMedical_nomoney"
2021,"Q3","Panama","whynotMedical_denied"
2021,"Q3","Panama","whynotMedical_nomoney"
2021,"Q3","Panama","whynotMedical_noinfo"
2021,"Q3","Panama","whynotMedical_noinfo"
2021,"Q3","Panama","whynotMedical_nomoney"
2021,"Q3","Panama","whynotMedical_noinfo"
2021,"Q3","Panama","whynotMedical_denied"
2021,"Q3","Panama","whynotMedical_noinfo"
2021,"Q3","Panama","whynotMedical_noinsurance"
2021,"Q3","Panama","whynotMedical_noinfo"
2021,"Q3","Panama","whynotMedical_noinfo"
2021,"Q3","Panama","whynotMedical_nomoney"
2021,"Q4","Panama","whynotMedical_nomoney"
2021,"Q4","Panama","whynotMedical_noinsurance"
2021,"Q4","Panama","whynotMedical_denied"
2021,"Q4","Panama","whynotMedical_nomoney"
2021,"Q4","Panama","whynotMedical_noinsurance"
2021,"Q4","Panama","whynotMedical_noID"
2021,"Q4","Panama","whynotMedical_notavailable"
2021,"Q4","Panama","whynotMedical_nomoney"
2021,"Q4","Panama","whynotMedical_noinsurance"
2021,"Q4","Panama","whynotMedical_noID"
2021,"Q4","Panama","whynotMedical_feararrested"
2021,"Q4","Panama","whynotMedical_distance"
2021,"Q4","Panama","whynotMedical_denied"
2021,"Q4","Panama","whynotMedical_denied"
2021,"Q4","Panama","whynotMedical_nomoney"
2021,"Q4","Panama","whynotMedical_noinsurance"
2021,"Q4","Panama","whynotMedical_noinfo"
2021,"Q4","Panama","whynotMedical_denied"
2021,"Q4","Panama","whynotMedical_noinfo"
2021,"Q4","Panama","whynotMedical_denied"
2021,"Q4","Panama","whynotMedical_notavailable"
2021,"Q4","Panama","whynotMedical_nomoney"
2021,"Q4","Panama","whynotMedical_noinsurance"
2021,"Q4","Panama","whynotMedical_nomoney"
2021,"Q4","Panama","whynotMedical_noinsurance"
2021,"Q4","Panama","whynotMedical_noinfo"
2021,"Q4","Panama","whynotMedical_nomoney"
2021,"Q4","Panama","whynotMedical_noinsurance"
2021,"Q4","Panama","whynotMedical_notavailable"
2021,"Q4","Panama","whynotMedical_noinsurance"
2021,"Q4","Panama","whynotMedical_noID"
2021,"Q4","Panama","whynotMedical_denied"
2021,"Q4","Panama","whynotMedical_noID"
2021,"Q4","Panama","whynotMedical_noinfo"
2021,"Q4","Panama","whynotMedical_nomoney"
2021,"Q4","Panama","whynotMedical_nomoney"
2021,"Q4","Panama","whynotMedical_noinsurance"
2021,"Q4","Panama","whynotMedical_noinfo"
2021,"Q4","Panama","whynotMedical_noinsurance"
2021,"Q4","Panama","whynotMedical_denied"
2021,"Q4","Panama","whynotMedical_nomoney"
2021,"Q4","Panama","whynotMedical_noinsurance"
2021,"Q4","Panama","whynotMedical_noID"
2021,"Q4","Panama","whynotMedical_noinfo"
2021,"Q4","Panama","whynotMedical_nomoney"
2021,"Q4","Panama","whynotMedical_noinsurance"
2021,"Q4","Panama","whynotMedical_nomoney"
2021,"Q4","Panama","whynotMedical_noinfo"
2021,"Q4","Panama","whynotMedical_nomoney"
2021,"Q4","Panama","whynotMedical_noinsurance"
2021,"Q4","Panama","whynotMedical_distance"
2021,"Q4","Panama","whynotMedical_nomoney"
2021,"Q4","Panama","whynotMedical_notavailable"
2021,"Q4","Panama","whynotMedical_denied"
2021,"Q4","Panama","whynotMedical_nomoney"
2021,"Q4","Panama","whynotMedical_noinsurance"
2021,"Q4","Panama","whynotMedical_noID"
2021,"Q4","Panama","whynotMedical_noinfo"
2021,"Q4","Panama","whynotMedical_nomoney"
2021,"Q4","Panama","whynotMedical_noinsurance"
2021,"Q4","Panama","whynotMedical_noID"
2021,"Q4","Panama","whynotMedical_noinfo"
2021,"Q4","Panama","whynotMedical_noinfo"
2021,"Q4","Panama","whynotMedical_noinfo"
2021,"Q4","Panama","whynotMedical_noinsurance"
2021,"Q4","Panama","whynotMedical_nomoney"
2021,"Q4","Panama","whynotMedical_nomoney"
2021,"Q4","Panama","whynotMedical_noinfo"
2021,"Q4","Panama","whynotMedical_nomoney"
2021,"Q4","Panama","whynotMedical_notavailable"
2021,"Q4","Panama","whynotMedical_noinfo"
2021,"Q4","Panama","whynotMedical_notavailable"
2021,"Q4","Panama","whynotMedical_noinfo"
2021,"Q4","Panama","whynotMedical_nomoney"
2021,"Q4","Panama","whynotMedical_noinsurance"
2021,"Q4","Panama","whynotMedical_noinfo"
2021,"Q4","Panama","whynotMedical_denied"
2021,"Q4","Panama","whynotMedical_notavailable"
2021,"Q4","Panama","whynotMedical_noID"
2021,"Q4","Panama","whynotMedical_noinfo"
2021,"Q4","Panama","whynotMedical_nomoney"
2021,"Q4","Panama","whynotMedical_noinsurance"
2021,"Q4","Panama","whynotMedical_noID"
2021,"Q4","Panama","whynotMedical_notavailable"
2021,"Q4","Panama","whynotMedical_nomoney"
2021,"Q4","Panama","whynotMedical_noinsurance"
2021,"Q4","Panama","whynotMedical_distance"
2021,"Q4","Panama","whynotMedical_nomoney"
2021,"Q4","Panama","whynotMedical_noinfo"
2021,"Q4","Panama","whynotMedical_feararrested"
2021,"Q4","Panama","whynotMedical_nomoney"
2021,"Q4","Panama","whynotMedical_noinsurance"
2021,"Q4","Panama","whynotMedical_nomoney"
2021,"Q4","Panama","whynotMedical_nomoney"
2021,"Q4","Panama","whynotMedical_nomoney"
2021,"Q4","Panama","whynotMedical_nomoney"
2021,"Q4","Panama","whynotMedical_noinsurance"
2021,"Q4","Panama","whynotMedical_nomoney"
2021,"Q4","Panama","whynotMedical_nomoney"
2021,"Q4","Panama","whynotMedical_noinsurance"
2021,"Q4","Panama","whynotMedical_noinfo"
2021,"Q4","Panama","whynotMedical_feararrested"
2021,"Q4","Panama","whynotMedical_distance"
2021,"Q4","Panama","whynotMedical_nomoney"
2021,"Q4","Panama","whynotMedical_noinfo"
2021,"Q4","Panama","whynotMedical_nomoney"
2021,"Q4","Panama","whynotMedical_nomoney"
2021,"Q4","Panama","whynotMedical_noinsurance"
2021,"Q4","Panama","whynotMedical_nomoney"
2021,"Q4","Panama","whynotMedical_nomoney"
2021,"Q4","Panama","whynotMedical_noinsurance"
2021,"Q4","Panama","whynotMedical_nomoney"
2021,"Q4","Panama","whynotMedical_noinsurance"
2021,"Q4","Panama","whynotMedical_nomoney"
2021,"Q4","Panama","whynotMedical_feararrested"
2021,"Q4","Panama","whynotMedical_noID"
2021,"Q4","Panama","whynotMedical_noinfo"
2021,"Q4","Panama","whynotMedical_denied"
2021,"Q4","Panama","whynotMedical_notavailable"
2021,"Q4","Panama","whynotMedical_noinfo"
2021,"Q4","Panama","whynotMedical_nomoney"
2021,"Q4","Panama","whynotMedical_noinsurance"
2021,"Q4","Panama","whynotMedical_noID"
2021,"Q4","Panama","whynotMedical_nomoney"
2021,"Q4","Panama","whynotMedical_nomoney"
2021,"Q4","Panama","whynotMedical_noinsurance"
2021,"Q4","Panama","whynotMedical_noID"
2021,"Q4","Panama","whynotMedical_feararrested"
2021,"Q4","Panama","whynotMedical_distance"
2021,"Q4","Panama","whynotMedical_denied"
2021,"Q4","Panama","whynotMedical_nomoney"
2021,"Q4","Panama","whynotMedical_noID"
2021,"Q4","Panama","whynotMedical_feararrested"
2021,"Q4","Panama","whynotMedical_nomoney"
2021,"Q4","Panama","whynotMedical_notavailable"
2021,"Q4","Panama","whynotMedical_nomoney"
2021,"Q4","Panama","whynotMedical_noinsurance"
2021,"Q4","Panama","whynotMedical_noinfo"
2021,"Q4","Panama","whynotMedical_nomoney"
2021,"Q4","Panama","whynotMedical_nomoney"
2021,"Q4","Panama","whynotMedical_noinsurance"
2021,"Q4","Panama","whynotMedical_feararrested"
2021,"Q4","Panama","whynotMedical_nomoney"
2021,"Q4","Panama","whynotMedical_nomoney"
2021,"Q4","Panama","whynotMedical_noinsurance"
2021,"Q4","Panama","whynotMedical_noID"
2021,"Q4","Panama","whynotMedical_nomoney"
2021,"Q4","Panama","whynotMedical_nomoney"
2021,"Q4","Panama","whynotMedical_noinsurance"
2021,"Q4","Panama","whynotMedical_notavailable"
2021,"Q4","Panama","whynotMedical_nomoney"
2021,"Q4","Panama","whynotMedical_denied"
2021,"Q4","Panama","whynotMedical_nomoney"
2021,"Q4","Panama","whynotMedical_nomoney"
2021,"Q4","Panama","whynotMedical_nomoney"
2021,"Q4","Panama","whynotMedical_noinsurance"
2021,"Q4","Panama","whynotMedical_noID"
2021,"Q4","Panama","whynotMedical_nomoney"
2021,"Q4","Panama","whynotMedical_noinfo"
2021,"Q4","Panama","whynotMedical_feararrested"
2020,"Q4","Panama","whynotMedical_nomoney"
2020,"Q4","Panama","whynotMedical_nomoney"
2020,"Q4","Panama","whynotMedical_nomoney"
2020,"Q4","Panama","whynotMedical_noID"
2020,"Q4","Panama","whynotMedical_noinfo"
2020,"Q4","Panama","whynotMedical_nomoney"
2020,"Q4","Panama","whynotMedical_nomoney"
2020,"Q4","Panama","whynotMedical_denied"
2020,"Q4","Panama","whynotMedical_notavailable"
2020,"Q4","Panama","whynotMedical_noID"
2020,"Q4","Panama","whynotMedical_noinfo"
2020,"Q4","Panama","whynotMedical_feararrested"
2020,"Q4","Panama","whynotMedical_nomoney"
2020,"Q4","Panama","whynotMedical_noinsurance"
2020,"Q4","Panama","whynotMedical_noID"
2020,"Q4","Panama","whynotMedical_nomoney"
2020,"Q4","Panama","whynotMedical_noinsurance"
2020,"Q4","Panama","whynotMedical_noID"
2020,"Q4","Panama","whynotMedical_noinfo"
2020,"Q4","Panama","whynotMedical_nomoney"
2020,"Q4","Panama","whynotMedical_notavailable"
2020,"Q4","Panama","whynotMedical_denied"
2020,"Q4","Panama","whynotMedical_nomoney"
2020,"Q4","Panama","whynotMedical_nomoney"
2020,"Q4","Panama","whynotMedical_noinsurance"
2020,"Q4","Panama","whynotMedical_nomoney"
2020,"Q4","Panama","whynotMedical_nomoney"
2020,"Q4","Panama","whynotMedical_noinsurance"
2020,"Q4","Panama","whynotMedical_denied"
2020,"Q4","Panama","whynotMedical_nomoney"
2020,"Q4","Panama","whynotMedical_notavailable"
2020,"Q4","Panama","whynotMedical_nomoney"
2020,"Q4","Panama","whynotMedical_noinsurance"
2020,"Q4","Panama","whynotMedical_noinsurance"
2020,"Q4","Panama","whynotMedical_denied"
2020,"Q4","Panama","whynotMedical_denied"
2020,"Q4","Panama","whynotMedical_nomoney"
2020,"Q4","Panama","whynotMedical_notavailable"
2020,"Q4","Panama","whynotMedical_nomoney"
2020,"Q4","Panama","whynotMedical_noID"
2020,"Q4","Panama","whynotMedical_noinfo"
2020,"Q4","Panama","whynotMedical_denied"
2020,"Q4","Panama","whynotMedical_nomoney"
2020,"Q4","Panama","whynotMedical_nomoney"
2020,"Q4","Panama","whynotMedical_noinsurance"
2020,"Q4","Panama","whynotMedical_notavailable"
2020,"Q4","Panama","whynotMedical_nomoney"
2020,"Q4","Panama","whynotMedical_noinsurance"
2020,"Q4","Panama","whynotMedical_noID"
2020,"Q4","Panama","whynotMedical_nomoney"
2020,"Q4","Panama","whynotMedical_nomoney"
