"Year","Quarter","CountryofAsylum","Reasons"
2021,"Q1Q2","Panama","Childwhynotschool_nodocs"
2021,"Q1Q2","Panama","Childwhynotschool_nomoney"
2021,"Q1Q2","Panama","Childwhynotschool_nodocs"
2021,"Q1Q2","Panama","Childwhynotschool_failedschool"
2021,"Q1Q2","Panama","Childwhynotschool_toolate"
2021,"Q1Q2","Panama","Childwhynotschool_nomoney"
2021,"Q1Q2","Panama","Childwhynotschool_nospot"
2021,"Q1Q2","Panama","Childwhynotschool_nomoney"
2021,"Q1Q2","Panama","Childwhynotschool_noinfo"
2021,"Q1Q2","Panama","Childwhynotschool_toolate"
2021,"Q1Q2","Panama","Childwhynotschool_recentlyarrive"
2021,"Q1Q2","Panama","Childwhynotschool_intransit"
2021,"Q1Q2","Panama","Childwhynotschool_recentlyarrive"
2021,"Q3","Panama","Childwhynotschool_nospot"
2021,"Q3","Panama","Childwhynotschool_toolate"
2021,"Q3","Panama","Childwhynotschool_toolate"
2021,"Q3","Panama","Childwhynotschool_nodocs"
2021,"Q3","Panama","Childwhynotschool_nospot"
2021,"Q3","Panama","Childwhynotschool_toolate"
2021,"Q3","Panama","Childwhynotschool_nomoney"
2021,"Q3","Panama","Childwhynotschool_nospot"
2021,"Q3","Panama","Childwhynotschool_toolate"
2021,"Q4","Panama","Childwhynotschool_nodocs"
2021,"Q4","Panama","Childwhynotschool_nodocs"
2021,"Q4","Panama","Childwhynotschool_nodocs"
2021,"Q4","Panama","Childwhynotschool_nomoney"
2021,"Q4","Panama","Childwhynotschool_recentlyarrive"
2021,"Q4","Panama","Childwhynotschool_nomoney"
2021,"Q4","Panama","Childwhynotschool_nomoney"
2021,"Q4","Panama","Childwhynotschool_nospot"
2021,"Q4","Panama","Childwhynotschool_nomoney"
2021,"Q4","Panama","Childwhynotschool_nospot"
2021,"Q4","Panama","Childwhynotschool_toolate"
2021,"Q4","Panama","Childwhynotschool_nospot"
2021,"Q4","Panama","Childwhynotschool_recentlyarrive"
2021,"Q4","Panama","Childwhynotschool_nodocs"
2021,"Q4","Panama","Childwhynotschool_nomoney"
2021,"Q4","Panama","Childwhynotschool_nomoney"
2021,"Q4","Panama","Childwhynotschool_disability"
2021,"Q4","Panama","Childwhynotschool_nointerest"
2021,"Q4","Panama","Childwhynotschool_nomoney"
2021,"Q4","Panama","Childwhynotschool_nointerest"
2021,"Q4","Panama","Childwhynotschool_toolate"
2021,"Q4","Panama","Childwhynotschool_nodocs"
2021,"Q4","Panama","Childwhynotschool_nomoney"
2021,"Q4","Panama","Childwhynotschool_noinfo"
2021,"Q4","Panama","Childwhynotschool_recentlyarrive"
2021,"Q4","Panama","Childwhynotschool_recentlyarrive"
2021,"Q4","Panama","Childwhynotschool_noinfo"
2021,"Q4","Panama","Childwhynotschool_noinfo"
2021,"Q4","Panama","Childwhynotschool_nomoney"
2021,"Q4","Panama","Childwhynotschool_failedschool"
2021,"Q4","Panama","Childwhynotschool_nospot"
2021,"Q4","Panama","Childwhynotschool_recentlyarrive"
2021,"Q4","Panama","Childwhynotschool_recentlyarrive"
2021,"Q4","Panama","Childwhynotschool_nospot"
2021,"Q4","Panama","Childwhynotschool_toolate"
2021,"Q4","Panama","Childwhynotschool_nospot"
2021,"Q4","Panama","Childwhynotschool_nospot"
2021,"Q4","Panama","Childwhynotschool_recentlyarrive"
2021,"Q4","Panama","Childwhynotschool_recentlyarrive"
2021,"Q4","Panama","Childwhynotschool_toolate"
