Year,Quarter,CountryOfAsylum,nationality,ethnicity,intentionmove,TotalAdult,TotalMinor,AppliedRefugee,documentation_id,Childinschool,Childvirtualed,disabilityacc_disabilityserv,medicalReceived,RiskYes,RiskReturn_medical,RiskStay_medical
2021,Q3,Paraguay,venezuela,,stay,2.0,1.0,yes,1,,,0,StronglyAgree,StronglyAgree,0,0
2021,Q3,Paraguay,venezuela,,stay,,,yes,1,,,0,,Agree,1,0
2021,Q3,Paraguay,venezuela,,stay,2.0,0.0,yes,1,,,0,StronglyAgree,StronglyAgree,1,0
2021,Q3,Paraguay,venezuela,,stay,2.0,0.0,yes,1,,,0,,Agree,0,0
2021,Q3,Paraguay,venezuela,,stay,5.0,2.0,,1,yes,yes,0,Undecided,StronglyAgree,1,0
2021,Q3,Paraguay,venezuela,,stay,3.0,1.0,,0,no,,0,,StronglyAgree,0,0
2021,Q3,Paraguay,venezuela,,stay,,,yes,1,yes,yes,0,,Agree,0,0
2021,Q3,Paraguay,venezuela,,stay,1.0,0.0,yes,1,,,0,,StronglyAgree,1,0
2021,Q3,Paraguay,venezuela,,relocate,2.0,0.0,no,1,,,0,Agree,Agree,1,0
2021,Q3,Paraguay,venezuela,,stay,1.0,0.0,no,1,,,0,StronglyAgree,Agree,0,0
2021,Q3,Paraguay,venezuela,,stay,,,yes,1,yes,yes,0,StronglyAgree,Undecided,0,0
2021,Q3,Paraguay,venezuela,,stay,,,yes,1,yes,yes,0,StronglyAgree,StronglyAgree,1,0
2021,Q3,Paraguay,venezuela,,stay,1.0,0.0,yes,1,,,0,StronglyAgree,Agree,1,0
2021,Q3,Paraguay,venezuela,,stay,2.0,1.0,yes,1,,,0,,StronglyAgree,0,0
2021,Q3,Paraguay,venezuela,,stay,,,no,1,,,0,StronglyAgree,Agree,1,0
2021,Q3,Paraguay,venezuela,,stay,4.0,1.0,yes,1,yes,Nainpersonclasses,0,,StronglyAgree,0,0
2021,Q3,Paraguay,venezuela,,dontknow,2.0,0.0,,1,,,0,Agree,Disagree,0,0
2021,Q3,Paraguay,venezuela,,relocate,1.0,0.0,yes,1,,,0,Agree,Agree,0,0
2021,Q3,Paraguay,venezuela,,stay,2.0,2.0,yes,1,yes,no,0,,StronglyAgree,0,0
2021,Q3,Paraguay,venezuela,,stay,3.0,1.0,yes,1,yes,yes,0,StronglyAgree,Disagree,0,0
2021,Q3,Paraguay,venezuela,,dontknow,1.0,0.0,yes,1,,,0,,Undecided,0,0
2021,Q3,Paraguay,venezuela,,stay,2.0,0.0,yes,1,,,0,Agree,StronglyDisagree,0,0
2021,Q3,Paraguay,venezuela,,stay,4.0,2.0,,1,yes,yes,0,StronglyAgree,Disagree,0,0
2021,Q3,Paraguay,venezuela,,stay,2.0,2.0,yes,1,yes,yes,0,StronglyAgree,StronglyAgree,1,0
2021,Q3,Paraguay,venezuela,,stay,2.0,1.0,yes,1,yes,yes,0,,Disagree,0,0
2021,Q3,Paraguay,venezuela,,stay,4.0,2.0,yes,1,,,0,Agree,StronglyAgree,1,0
2021,Q3,Paraguay,venezuela,,stay,1.0,1.0,yes,1,yes,no,0,Agree,Agree,0,0
2021,Q3,Paraguay,venezuela,,stay,1.0,0.0,yes,1,,,0,,Agree,0,0
2021,Q3,Paraguay,venezuela,,stay,,,yes,0,yes,yes,0,,StronglyAgree,1,0
2021,Q3,Paraguay,venezuela,,stay,5.0,4.0,,1,yes,yes,0,Disagree,StronglyAgree,0,0
2021,Q3,Paraguay,venezuela,,stay,1.0,0.0,yes,1,,,0,StronglyAgree,StronglyAgree,1,0
2021,Q3,Paraguay,venezuela,,stay,2.0,1.0,yes,1,,,0,Agree,Agree,0,0
