Year,Quarter,CountryOfAsylum,Reason_notmedical
2021,Q3,Paraguay,whynotMedical_nomoney
2021,Q3,Paraguay,whynotMedical_nomoney
2021,Q3,Paraguay,whynotMedical_nomoney
2021,Q3,Paraguay,whynotMedical_nomoney
2021,Q3,Paraguay,whynotMedical_nomoney
2021,Q3,Paraguay,whynotMedical_nomoney
2021,Q3,Paraguay,whynotMedical_nomoney
2021,Q3,Paraguay,whynotMedical_nomoney
2021,Q3,Paraguay,whynotMedical_nomoney
2021,Q3,Paraguay,whynotMedical_nomoney
2021,Q3,Paraguay,whynotMedical_nomoney
2021,Q3,Paraguay,whynotMedical_nomoney
2021,Q3,Paraguay,whynotMedical_nomoney
2021,Q3,Paraguay,whynotMedical_nomoney
2021,Q3,Paraguay,whynotMedical_nomoney
2021,Q3,Paraguay,whynotMedical_nomoney
2021,Q3,Paraguay,whynotMedical_noinsurance
2021,Q3,Paraguay,whynotMedical_noID
2021,Q3,Paraguay,whynotMedical_noID
2021,Q3,Paraguay,whynotMedical_noinfo
2021,Q3,Paraguay,whynotMedical_noinfo
2021,Q3,Paraguay,whynotMedical_noinfo
2021,Q3,Paraguay,whynotMedical_noinfo
2021,Q3,Paraguay,whynotMedical_noinfo
2021,Q3,Paraguay,whynotMedical_noinfo
2021,Q3,Paraguay,whynotMedical_noinfo
2021,Q3,Paraguay,whynotMedical_noinfo
2021,Q3,Paraguay,whynotMedical_noinfo
2021,Q3,Paraguay,whynotMedical_noinfo
2021,Q3,Paraguay,whynotMedical_feararrested
2021,Q3,Paraguay,whynotMedical_feararrested
2021,Q3,Paraguay,whynotMedical_notavailable
2021,Q3,Paraguay,whynotMedical_notavailable
2021,Q3,Paraguay,whynotMedical_notavailable
2021,Q3,Paraguay,whynotMedical_notavailable
2021,Q3,Paraguay,whynotMedical_notavailable
2021,Q3,Paraguay,whynotMedical_denied
2021,Q3,Paraguay,whynotMedical_denied
