Year,Quarter,CountryOfAsylum,Reason_notschool
2021,Q3,Paraguay,Childwhynotschool_nodocs
2021,Q3,Paraguay,Childwhynotschool_nospot
2021,Q3,Paraguay,Childwhynotschool_nospot
2021,Q3,Paraguay,Childwhynotschool_nospot
2021,Q3,Paraguay,Childwhynotschool_finished
2021,Q3,Paraguay,Childwhynotschool_recentlyarrive
2021,Q3,Paraguay,Childwhynotschool_recentlyarrive
2021,Q3,Paraguay,Childwhynotschool_recentlyarrive
2021,Q3,Paraguay,Childwhynotschool_recentlyarrive
2021,Q3,Paraguay,Childwhynotschool_recentlyarrive
2021,Q3,Paraguay,Childwhynotschool_toolate
2021,Q3,Paraguay,Childwhynotschool_toolate
