Year,Quarter,CountryOfAsylum,Reason_notmedical
2020,Q4,Peru,whynotMedical_nomoney
2020,Q4,Peru,whynotMedical_nomoney
2020,Q4,Peru,whynotMedical_nomoney
2020,Q4,Peru,whynotMedical_nomoney
2020,Q4,Peru,whynotMedical_nomoney
2020,Q4,Peru,whynotMedical_nomoney
2020,Q4,Peru,whynotMedical_nomoney
2020,Q4,Peru,whynotMedical_nomoney
2020,Q4,Peru,whynotMedical_nomoney
2020,Q4,Peru,whynotMedical_nomoney
2020,Q4,Peru,whynotMedical_nomoney
2020,Q4,Peru,whynotMedical_nomoney
2020,Q4,Peru,whynotMedical_nomoney
2020,Q4,Peru,whynotMedical_nomoney
2020,Q4,Peru,whynotMedical_nomoney
2020,Q4,Peru,whynotMedical_nomoney
2020,Q4,Peru,whynotMedical_nomoney
2020,Q4,Peru,whynotMedical_nomoney
2020,Q4,Peru,whynotMedical_nomoney
2020,Q4,Peru,whynotMedical_nomoney
2020,Q4,Peru,whynotMedical_nomoney
2020,Q4,Peru,whynotMedical_nomoney
2020,Q4,Peru,whynotMedical_nomoney
2020,Q4,Peru,whynotMedical_nomoney
2020,Q4,Peru,whynotMedical_nomoney
2020,Q4,Peru,whynotMedical_nomoney
2020,Q4,Peru,whynotMedical_nomoney
2020,Q4,Peru,whynotMedical_nomoney
2020,Q4,Peru,whynotMedical_nomoney
2020,Q4,Peru,whynotMedical_nomoney
2020,Q4,Peru,whynotMedical_nomoney
2020,Q4,Peru,whynotMedical_nomoney
2020,Q4,Peru,whynotMedical_nomoney
2020,Q4,Peru,whynotMedical_nomoney
2020,Q4,Peru,whynotMedical_nomoney
2020,Q4,Peru,whynotMedical_nomoney
2020,Q4,Peru,whynotMedical_nomoney
2020,Q4,Peru,whynotMedical_nomoney
2020,Q4,Peru,whynotMedical_nomoney
2020,Q4,Peru,whynotMedical_nomoney
2020,Q4,Peru,whynotMedical_nomoney
2020,Q4,Peru,whynotMedical_nomoney
2020,Q4,Peru,whynotMedical_nomoney
2020,Q4,Peru,whynotMedical_nomoney
2020,Q4,Peru,whynotMedical_nomoney
2020,Q4,Peru,whynotMedical_nomoney
2020,Q4,Peru,whynotMedical_nomoney
2020,Q4,Peru,whynotMedical_nomoney
2020,Q4,Peru,whynotMedical_nomoney
2020,Q4,Peru,whynotMedical_nomoney
2020,Q4,Peru,whynotMedical_nomoney
2020,Q4,Peru,whynotMedical_nomoney
2020,Q4,Peru,whynotMedical_nomoney
2020,Q4,Peru,whynotMedical_nomoney
2020,Q4,Peru,whynotMedical_nomoney
2020,Q4,Peru,whynotMedical_nomoney
2020,Q4,Peru,whynotMedical_nomoney
2020,Q4,Peru,whynotMedical_nomoney
2020,Q4,Peru,whynotMedical_nomoney
2020,Q4,Peru,whynotMedical_nomoney
2020,Q4,Peru,whynotMedical_nomoney
2021,Q1Q2,Peru,whynotMedical_nomoney
2021,Q1Q2,Peru,whynotMedical_nomoney
2021,Q1Q2,Peru,whynotMedical_nomoney
2021,Q1Q2,Peru,whynotMedical_nomoney
2021,Q1Q2,Peru,whynotMedical_nomoney
2021,Q1Q2,Peru,whynotMedical_nomoney
2021,Q1Q2,Peru,whynotMedical_nomoney
2021,Q1Q2,Peru,whynotMedical_nomoney
2021,Q1Q2,Peru,whynotMedical_nomoney
2021,Q1Q2,Peru,whynotMedical_nomoney
2021,Q1Q2,Peru,whynotMedical_nomoney
2021,Q1Q2,Peru,whynotMedical_nomoney
2021,Q1Q2,Peru,whynotMedical_nomoney
2021,Q1Q2,Peru,whynotMedical_nomoney
2021,Q1Q2,Peru,whynotMedical_nomoney
2021,Q1Q2,Peru,whynotMedical_nomoney
2021,Q1Q2,Peru,whynotMedical_nomoney
2021,Q1Q2,Peru,whynotMedical_nomoney
2021,Q1Q2,Peru,whynotMedical_nomoney
2021,Q1Q2,Peru,whynotMedical_nomoney
2021,Q1Q2,Peru,whynotMedical_nomoney
2021,Q1Q2,Peru,whynotMedical_nomoney
2021,Q1Q2,Peru,whynotMedical_nomoney
2021,Q1Q2,Peru,whynotMedical_nomoney
2021,Q1Q2,Peru,whynotMedical_nomoney
2021,Q1Q2,Peru,whynotMedical_nomoney
2021,Q1Q2,Peru,whynotMedical_nomoney
2021,Q1Q2,Peru,whynotMedical_nomoney
2021,Q1Q2,Peru,whynotMedical_nomoney
2021,Q1Q2,Peru,whynotMedical_nomoney
2021,Q1Q2,Peru,whynotMedical_nomoney
2021,Q1Q2,Peru,whynotMedical_nomoney
2021,Q1Q2,Peru,whynotMedical_nomoney
2021,Q1Q2,Peru,whynotMedical_nomoney
2021,Q1Q2,Peru,whynotMedical_nomoney
2021,Q1Q2,Peru,whynotMedical_nomoney
2021,Q1Q2,Peru,whynotMedical_nomoney
2021,Q1Q2,Peru,whynotMedical_nomoney
2021,Q1Q2,Peru,whynotMedical_nomoney
2021,Q1Q2,Peru,whynotMedical_nomoney
2021,Q1Q2,Peru,whynotMedical_nomoney
2021,Q3,Peru,whynotMedical_nomoney
2021,Q3,Peru,whynotMedical_nomoney
2021,Q3,Peru,whynotMedical_nomoney
2021,Q3,Peru,whynotMedical_nomoney
2021,Q3,Peru,whynotMedical_nomoney
2021,Q3,Peru,whynotMedical_nomoney
2021,Q3,Peru,whynotMedical_nomoney
2021,Q3,Peru,whynotMedical_nomoney
2021,Q3,Peru,whynotMedical_nomoney
2021,Q3,Peru,whynotMedical_nomoney
2021,Q3,Peru,whynotMedical_nomoney
2021,Q3,Peru,whynotMedical_nomoney
2021,Q3,Peru,whynotMedical_nomoney
2021,Q3,Peru,whynotMedical_nomoney
2021,Q3,Peru,whynotMedical_nomoney
2021,Q3,Peru,whynotMedical_nomoney
2021,Q3,Peru,whynotMedical_nomoney
2021,Q3,Peru,whynotMedical_nomoney
2021,Q3,Peru,whynotMedical_nomoney
2021,Q3,Peru,whynotMedical_nomoney
2021,Q3,Peru,whynotMedical_nomoney
2021,Q3,Peru,whynotMedical_nomoney
2021,Q3,Peru,whynotMedical_nomoney
2021,Q3,Peru,whynotMedical_nomoney
2021,Q3,Peru,whynotMedical_nomoney
2021,Q3,Peru,whynotMedical_nomoney
2021,Q3,Peru,whynotMedical_nomoney
2021,Q3,Peru,whynotMedical_nomoney
2021,Q3,Peru,whynotMedical_nomoney
2021,Q3,Peru,whynotMedical_nomoney
2021,Q3,Peru,whynotMedical_nomoney
2021,Q3,Peru,whynotMedical_nomoney
2021,Q3,Peru,whynotMedical_nomoney
2021,Q3,Peru,whynotMedical_nomoney
2021,Q3,Peru,whynotMedical_nomoney
2021,Q3,Peru,whynotMedical_nomoney
2021,Q3,Peru,whynotMedical_nomoney
2021,Q3,Peru,whynotMedical_nomoney
2021,Q3,Peru,whynotMedical_nomoney
2021,Q3,Peru,whynotMedical_nomoney
2021,Q3,Peru,whynotMedical_nomoney
2021,Q3,Peru,whynotMedical_nomoney
2021,Q3,Peru,whynotMedical_nomoney
2021,Q3,Peru,whynotMedical_nomoney
2021,Q3,Peru,whynotMedical_nomoney
2021,Q3,Peru,whynotMedical_nomoney
2021,Q3,Peru,whynotMedical_nomoney
2021,Q3,Peru,whynotMedical_nomoney
2021,Q3,Peru,whynotMedical_nomoney
