Year,Quarter,CountryOfAsylum,Reason_notschool
2020,Q4,Peru,Childwhynotschool_nodocs
2020,Q4,Peru,Childwhynotschool_nodocs
2020,Q4,Peru,Childwhynotschool_nodocs
2020,Q4,Peru,Childwhynotschool_nodocs
2020,Q4,Peru,Childwhynotschool_nodocs
2020,Q4,Peru,Childwhynotschool_nodocs
2020,Q4,Peru,Childwhynotschool_nodocs
2020,Q4,Peru,Childwhynotschool_nodocs
2020,Q4,Peru,Childwhynotschool_nodocs
2020,Q4,Peru,Childwhynotschool_nodocs
2020,Q4,Peru,Childwhynotschool_nodocs
2020,Q4,Peru,Childwhynotschool_nodocs
2020,Q4,Peru,Childwhynotschool_nodocs
2020,Q4,Peru,Childwhynotschool_nodocs
2020,Q4,Peru,Childwhynotschool_nodocs
2020,Q4,Peru,Childwhynotschool_nodocs
2020,Q4,Peru,Childwhynotschool_nodocs
2020,Q4,Peru,Childwhynotschool_nodocs
2021,Q1Q2,Peru,Childwhynotschool_nodocs
2021,Q1Q2,Peru,Childwhynotschool_nodocs
2021,Q1Q2,Peru,Childwhynotschool_nodocs
2021,Q1Q2,Peru,Childwhynotschool_nodocs
2021,Q1Q2,Peru,Childwhynotschool_nodocs
2021,Q1Q2,Peru,Childwhynotschool_nodocs
2021,Q1Q2,Peru,Childwhynotschool_nodocs
2021,Q1Q2,Peru,Childwhynotschool_nodocs
2021,Q1Q2,Peru,Childwhynotschool_nodocs
2021,Q1Q2,Peru,Childwhynotschool_nodocs
2021,Q1Q2,Peru,Childwhynotschool_nodocs
2021,Q1Q2,Peru,Childwhynotschool_nodocs
2021,Q1Q2,Peru,Childwhynotschool_nodocs
2021,Q1Q2,Peru,Childwhynotschool_nodocs
2021,Q1Q2,Peru,Childwhynotschool_nodocs
2021,Q1Q2,Peru,Childwhynotschool_nodocs
2021,Q1Q2,Peru,Childwhynotschool_nodocs
2021,Q1Q2,Peru,Childwhynotschool_nodocs
2021,Q1Q2,Peru,Childwhynotschool_nodocs
2021,Q1Q2,Peru,Childwhynotschool_nodocs
2021,Q1Q2,Peru,Childwhynotschool_nodocs
2021,Q1Q2,Peru,Childwhynotschool_nodocs
2021,Q1Q2,Peru,Childwhynotschool_nodocs
2021,Q1Q2,Peru,Childwhynotschool_nodocs
2021,Q1Q2,Peru,Childwhynotschool_nodocs
2021,Q3,Peru,Childwhynotschool_nodocs
2021,Q3,Peru,Childwhynotschool_nodocs
2021,Q3,Peru,Childwhynotschool_nodocs
2021,Q3,Peru,Childwhynotschool_nodocs
2021,Q3,Peru,Childwhynotschool_nodocs
2021,Q3,Peru,Childwhynotschool_nodocs
2021,Q3,Peru,Childwhynotschool_nodocs
2021,Q3,Peru,Childwhynotschool_nodocs
2021,Q3,Peru,Childwhynotschool_nodocs
2021,Q3,Peru,Childwhynotschool_nodocs
2021,Q3,Peru,Childwhynotschool_nodocs
2021,Q3,Peru,Childwhynotschool_nodocs
2021,Q3,Peru,Childwhynotschool_nodocs
2021,Q3,Peru,Childwhynotschool_nodocs
2021,Q3,Peru,Childwhynotschool_nodocs
2021,Q3,Peru,Childwhynotschool_nodocs
2021,Q3,Peru,Childwhynotschool_nodocs
2021,Q3,Peru,Childwhynotschool_nodocs
2021,Q3,Peru,Childwhynotschool_nodocs
2021,Q3,Peru,Childwhynotschool_nodocs
2021,Q3,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2021,Q4,Peru,Childwhynotschool_nodocs
2022,Q1,Peru,Childwhynotschool_nodocs
2022,Q1,Peru,Childwhynotschool_nodocs
2022,Q1,Peru,Childwhynotschool_nodocs
2022,Q1,Peru,Childwhynotschool_nodocs
2022,Q1,Peru,Childwhynotschool_nodocs
2022,Q1,Peru,Childwhynotschool_nodocs
2022,Q1,Peru,Childwhynotschool_nodocs
2022,Q1,Peru,Childwhynotschool_nodocs
2022,Q1,Peru,Childwhynotschool_nodocs
2022,Q1,Peru,Childwhynotschool_nodocs
2020,Q4,Peru,Childwhynotschool_nomoney
2020,Q4,Peru,Childwhynotschool_nomoney
2020,Q4,Peru,Childwhynotschool_nomoney
2020,Q4,Peru,Childwhynotschool_nomoney
2020,Q4,Peru,Childwhynotschool_nomoney
2020,Q4,Peru,Childwhynotschool_nomoney
2020,Q4,Peru,Childwhynotschool_nomoney
2020,Q4,Peru,Childwhynotschool_nomoney
2020,Q4,Peru,Childwhynotschool_nomoney
2020,Q4,Peru,Childwhynotschool_nomoney
2020,Q4,Peru,Childwhynotschool_nomoney
2020,Q4,Peru,Childwhynotschool_nomoney
2020,Q4,Peru,Childwhynotschool_nomoney
2020,Q4,Peru,Childwhynotschool_nomoney
2020,Q4,Peru,Childwhynotschool_nomoney
2020,Q4,Peru,Childwhynotschool_nomoney
2020,Q4,Peru,Childwhynotschool_nomoney
2020,Q4,Peru,Childwhynotschool_nomoney
2020,Q4,Peru,Childwhynotschool_nomoney
2020,Q4,Peru,Childwhynotschool_nomoney
2020,Q4,Peru,Childwhynotschool_nomoney
2020,Q4,Peru,Childwhynotschool_nomoney
2020,Q4,Peru,Childwhynotschool_nomoney
2021,Q1Q2,Peru,Childwhynotschool_nomoney
2021,Q1Q2,Peru,Childwhynotschool_nomoney
2021,Q1Q2,Peru,Childwhynotschool_nomoney
2021,Q1Q2,Peru,Childwhynotschool_nomoney
2021,Q1Q2,Peru,Childwhynotschool_nomoney
2021,Q1Q2,Peru,Childwhynotschool_nomoney
2021,Q1Q2,Peru,Childwhynotschool_nomoney
2021,Q1Q2,Peru,Childwhynotschool_nomoney
2021,Q1Q2,Peru,Childwhynotschool_nomoney
