"ID","Year","Quarter","CountryofAsylum","nationality","ethnicity","intentionmove","TotalAdult","TotalMinor","AppliedRefugee","documentation_id","Childinschool","Childvirtualed","disabilityacc_disabilityserv","medicalReceived","RiskYes","RiskReturn_medical","RiskStay_medical"
1,2020,"Q4","RepublicaDominicana","venezuela",NA,"stay",2,2,"nointention",0,"yes","yes",NA,"StronglyAgree","StronglyAgree",1,NA
2,2020,"Q4","RepublicaDominicana","venezuela",NA,"stay",1,2,"nointention",1,"yes","yes",NA,"StronglyAgree","StronglyAgree",1,NA
3,2020,"Q4","RepublicaDominicana","venezuela",NA,"stay",1,0,"yes",0,NA,NA,NA,NA,"StronglyAgree",1,NA
4,2020,"Q4","RepublicaDominicana","venezuela",NA,"relocate",2,1,"nointention",0,NA,NA,NA,"StronglyAgree","StronglyAgree",1,NA
5,2020,"Q4","RepublicaDominicana","venezuela",NA,"relocate",1,1,"nointention",0,"yes","no",NA,"Agree","StronglyAgree",0,NA
6,2020,"Q4","RepublicaDominicana","venezuela",NA,"stay",2,1,"nointention",0,"yes","no",NA,"StronglyAgree","StronglyAgree",0,NA
7,2020,"Q4","RepublicaDominicana","venezuela",NA,"dontknow",2,0,"nointention",0,NA,NA,NA,"Agree","StronglyAgree",0,NA
8,2020,"Q4","RepublicaDominicana","venezuela",NA,"stay",1,0,"nointention",0,NA,NA,NA,NA,"Agree",1,NA
9,2020,"Q4","RepublicaDominicana","venezuela",NA,"relocate",3,2,"nointention",0,"yes","yes",NA,"StronglyAgree","StronglyAgree",1,NA
10,2020,"Q4","RepublicaDominicana","venezuela",NA,"stay",2,3,"nointention",0,"no",NA,NA,"StronglyDisagree","StronglyAgree",1,NA
11,2020,"Q4","RepublicaDominicana","venezuela",NA,"stay",5,3,"nointention",0,"yes","no",NA,"Agree","StronglyAgree",0,NA
12,2020,"Q4","RepublicaDominicana","venezuela",NA,"stay",2,2,"nointention",0,"yes","no",NA,"StronglyAgree","StronglyAgree",1,NA
13,2020,"Q4","RepublicaDominicana","venezuela",NA,"stay",2,1,NA,0,"yes","yes",NA,NA,"StronglyAgree",1,NA
14,2020,"Q4","RepublicaDominicana","venezuela",NA,"stay",1,1,NA,0,"no",NA,NA,"Undecided","StronglyDisagree",NA,NA
15,2020,"Q4","RepublicaDominicana","venezuela",NA,"stay",1,0,"nointention",0,NA,NA,NA,"StronglyAgree","Agree",1,NA
16,2020,"Q4","RepublicaDominicana","venezuela",NA,"stay",2,0,"nointention",0,NA,NA,NA,"StronglyAgree","StronglyAgree",1,NA
17,2020,"Q4","RepublicaDominicana","venezuela",NA,"stay",1,0,"yes",0,NA,NA,NA,"Agree","StronglyAgree",1,NA
18,2020,"Q4","RepublicaDominicana","venezuela",NA,"stay",1,0,"nointention",0,NA,NA,NA,"StronglyAgree","Agree",1,NA
19,2020,"Q4","RepublicaDominicana","venezuela",NA,"relocate",NA,NA,NA,0,"yes","yes",NA,"Disagree","StronglyAgree",1,NA
20,2020,"Q4","RepublicaDominicana","venezuela",NA,"relocate",1,1,"nointention",0,"no",NA,NA,"StronglyAgree","Agree",1,NA
