"Year","Quarter","CountryofAsylum","Reasons"
2020,"Q4","RepublicaDominicana","Childwhynotschool_nodocs"
2020,"Q4","RepublicaDominicana","Childwhynotschool_toolate"
2020,"Q4","RepublicaDominicana","Childwhynotschool_nomoney"
2020,"Q4","RepublicaDominicana","Childwhynotschool_nomoney"
2020,"Q4","RepublicaDominicana","Childwhynotschool_nomoney"
2020,"Q4","RepublicaDominicana","Childwhynotschool_nomoney"
2020,"Q4","RepublicaDominicana","Childwhynotschool_nodocs"
2020,"Q4","RepublicaDominicana","Childwhynotschool_nomoney"
2020,"Q4","RepublicaDominicana","Childwhynotschool_nodocs"
2020,"Q4","RepublicaDominicana","Childwhynotschool_nomoney"
2020,"Q4","RepublicaDominicana","Childwhynotschool_nodocs"
2020,"Q4","RepublicaDominicana","Childwhynotschool_noschools"
2021,"Q1Q2","RepublicaDominicana","Childwhynotschool_nodocs"
2021,"Q1Q2","RepublicaDominicana","Childwhynotschool_nomoney"
2021,"Q1Q2","RepublicaDominicana","Childwhynotschool_nomoney"
2021,"Q1Q2","RepublicaDominicana","Childwhynotschool_disability"
2021,"Q1Q2","RepublicaDominicana","Childwhynotschool_noschools"
2021,"Q1Q2","RepublicaDominicana","Childwhynotschool_notransport"
2021,"Q3","RepublicaDominicana","Childwhynotschool_nodocs"
2021,"Q3","RepublicaDominicana","Childwhynotschool_nomoney"
2021,"Q3","RepublicaDominicana","Childwhynotschool_nodocs"
2021,"Q3","RepublicaDominicana","Childwhynotschool_nomoney"
2021,"Q4","RepublicaDominicana","Childwhynotschool_nomoney"
2021,"Q4","RepublicaDominicana","Childwhynotschool_nomoney"
2021,"Q4","RepublicaDominicana","Childwhynotschool_disability"
2021,"Q4","RepublicaDominicana","Childwhynotschool_noschools"
2021,"Q4","RepublicaDominicana","Childwhynotschool_notransport"
2021,"Q4","RepublicaDominicana","Childwhynotschool_nospot"
2021,"Q4","RepublicaDominicana","Childwhynotschool_recentlyarrive"
2021,"Q4","RepublicaDominicana","Childwhynotschool_nodocs"
2021,"Q4","RepublicaDominicana","Childwhynotschool_nodocs"
2021,"Q4","RepublicaDominicana","Childwhynotschool_toolate"
2021,"Q4","RepublicaDominicana","Childwhynotschool_nodocs"
2021,"Q4","RepublicaDominicana","Childwhynotschool_finished"
2021,"Q4","RepublicaDominicana","Childwhynotschool_nodocs"
2021,"Q4","RepublicaDominicana","Childwhynotschool_nomoney"
2021,"Q4","RepublicaDominicana","Childwhynotschool_nomoney"
2021,"Q4","RepublicaDominicana","Childwhynotschool_nomoney"
2021,"Q4","RepublicaDominicana","Childwhynotschool_nodocs"
2021,"Q4","RepublicaDominicana","Childwhynotschool_disability"
2021,"Q4","RepublicaDominicana","Childwhynotschool_nospot"
2021,"Q4","RepublicaDominicana","Childwhynotschool_notransport"
2021,"Q4","RepublicaDominicana","Childwhynotschool_nomoney"
2021,"Q4","RepublicaDominicana","Childwhynotschool_nodocs"
2021,"Q4","RepublicaDominicana","Childwhynotschool_nomoney"
2021,"Q4","RepublicaDominicana","Childwhynotschool_childwork"
2021,"Q4","RepublicaDominicana","Childwhynotschool_nomoney"
2021,"Q4","RepublicaDominicana","Childwhynotschool_nodocs"
2021,"Q4","RepublicaDominicana","Childwhynotschool_nodocs"
2021,"Q4","RepublicaDominicana","Childwhynotschool_disability"
2021,"Q4","RepublicaDominicana","Childwhynotschool_nomoney"
2021,"Q4","RepublicaDominicana","Childwhynotschool_noschools"
2021,"Q4","RepublicaDominicana","Childwhynotschool_disability"
2021,"Q4","RepublicaDominicana","Childwhynotschool_nomoney"
2021,"Q4","RepublicaDominicana","Childwhynotschool_nospot"
