"ID","Year","Quarter","CountryofAsylum","nationality","ethnicity","intentionmove","TotalAdult","TotalMinor","AppliedRefugee","documentation_id","Childinschool","Childvirtualed","disabilityacc_disabilityserv","medicalReceived","RiskYes","RiskReturn_medical","RiskStay_medical"
1,2021,"Q3","Suriname","","other","stay",1,0,"yes",1,"","",0,"","Agree",0,0
2,2021,"Q3","Suriname","cuba","","relocate",2,0,"yes",0,"","",0,"","Agree",0,0
3,2021,"Q3","Suriname","cuba","mixed","relocate",2,1,"yes",0,"no","",0,"StronglyAgree","StronglyAgree",0,0
4,2021,"Q3","Suriname","cuba","","stay",NA,NA,"yes",0,"yes","no",0,"","Agree",1,0
5,2021,"Q3","Suriname","cuba","","stay",2,0,"yes",1,"","",0,"","StronglyAgree",0,0
6,2021,"Q3","Suriname","","mixed","stay",3,1,"yes",1,"","",0,"","StronglyAgree",1,0
7,2021,"Q3","Suriname","cuba","mixed","stay",2,0,"yes",0,"","",0,"","StronglyAgree",0,0
8,2021,"Q3","Suriname","cuba","","dontknow",NA,NA,"yes",0,"","",0,"","Undecided",0,0
9,2021,"Q3","Suriname","cuba","","dontknow",2,1,"yes",0,"","",0,"","StronglyAgree",0,0
10,2021,"Q3","Suriname","","mixed","relocate",1,0,"yes",0,"","",0,"","StronglyAgree",0,0
11,2021,"Q3","Suriname","cuba","","dontknow",2,0,"yes",0,"","",0,"","Undecided",0,0
12,2021,"Q3","Suriname","cuba","","stay",3,0,"yes",0,"","",0,"","StronglyAgree",0,0
13,2021,"Q3","Suriname","cuba","","stay",1,0,"yes",0,"","",0,"","StronglyAgree",0,0
14,2021,"Q3","Suriname","cuba","","dontknow",1,1,"yes",0,"","",0,"","StronglyAgree",0,0
15,2021,"Q3","Suriname","cuba","","dontknow",2,0,"yes",1,"","",0,"Agree","Agree",0,0
16,2021,"Q3","Suriname","cuba","","stay",NA,NA,"yes",0,"no","",0,"StronglyAgree","StronglyAgree",0,0
17,2021,"Q3","Suriname","cuba","mixed","stay",2,0,"yes",1,"","",0,"","StronglyAgree",0,0
18,2021,"Q3","Suriname","cuba","other","stay",3,3,"yes",0,"yes","no",0,"","StronglyAgree",0,0
19,2021,"Q3","Suriname","cuba","white","dontknow",NA,NA,"yes",0,"yes","dontknow",0,"","StronglyAgree",0,0
20,2021,"Q3","Suriname","cuba","mixed","relocate",0,0,"yes",0,"","",0,"StronglyAgree","StronglyAgree",0,0
21,2021,"Q3","Suriname","cuba","","stay",3,1,"yes",0,"no","",0,"StronglyAgree","StronglyAgree",0,0
22,2021,"Q3","Suriname","cuba","mixed","stay",3,0,"yes",0,"","",0,"Agree","StronglyAgree",0,0
23,2021,"Q3","Suriname","cuba","mixed","relocate",2,0,"yes",1,"","",0,"","StronglyAgree",0,0
24,2021,"Q3","Suriname","cuba","white","dontknow",2,0,"yes",1,"","",0,"","Agree",1,0
25,2021,"Q3","Suriname","cuba","","stay",2,0,"yes",0,"","",0,"","StronglyAgree",0,0
26,2021,"Q3","Suriname","cuba","","stay",3,1,"yes",0,"","",0,"Agree","StronglyAgree",0,0
27,2021,"Q3","Suriname","cuba","other","stay",2,1,"yes",0,"","",0,"StronglyAgree","StronglyAgree",0,0
28,2021,"Q3","Suriname","cuba","mixed","relocate",2,0,"yes",0,"","",0,"","Undecided",0,0
29,2021,"Q3","Suriname","cuba","white","relocate",2,0,"yes",0,"","",0,"","StronglyAgree",0,0
30,2021,"Q3","Suriname","cuba","","stay",2,0,"yes",0,"","",0,"StronglyAgree","Agree",0,0
31,2021,"Q3","Suriname","cuba","other","notell",2,0,"yes",0,"","",0,"Agree","StronglyAgree",0,0
32,2021,"Q3","Suriname","cuba","black","dontknow",1,0,"yes",0,"","",0,"","StronglyAgree",0,0
33,2021,"Q3","Suriname","cuba","","stay",2,0,"yes",1,"","",0,"","Agree",0,0
34,2021,"Q3","Suriname","cuba","mixed","stay",2,1,"yes",0,"","",0,"","StronglyAgree",0,0
35,2021,"Q3","Suriname","","","dontknow",1,1,"yes",1,"","",0,"","Undecided",0,0
36,2021,"Q3","Suriname","cuba","","relocate",1,0,"yes",0,"","",0,"","StronglyAgree",0,0
37,2021,"Q3","Suriname","cuba","black","stay",1,1,"yes",1,"yes","yes",0,"","StronglyAgree",0,0
38,2021,"Q3","Suriname","cuba","","dontknow",2,0,"yes",0,"","",0,"","StronglyAgree",0,0
39,2021,"Q3","Suriname","cuba","white","stay",2,0,"yes",0,"","",0,"","Agree",0,0
40,2021,"Q3","Suriname","cuba","","dontknow",1,0,"yes",0,"","",0,"","StronglyAgree",0,0
