"Year","Quarter","CountryofAsylum","Reasons"
2021,"Q3","Suriname","whynotMedical_nomoney"
2021,"Q3","Suriname","whynotMedical_noinsurance"
2021,"Q3","Suriname","whynotMedical_nomoney"
2021,"Q3","Suriname","whynotMedical_noinsurance"
2021,"Q3","Suriname","whynotMedical_noID"
2021,"Q3","Suriname","whynotMedical_nomoney"
2021,"Q3","Suriname","whynotMedical_noinsurance"
2021,"Q3","Suriname","whynotMedical_nomoney"
2021,"Q3","Suriname","whynotMedical_noinsurance"
2021,"Q3","Suriname","whynotMedical_nomoney"
2021,"Q3","Suriname","whynotMedical_noinsurance"
2021,"Q3","Suriname","whynotMedical_noID"
2021,"Q3","Suriname","whynotMedical_nomoney"
2021,"Q3","Suriname","whynotMedical_noinsurance"
2021,"Q3","Suriname","whynotMedical_noinsurance"
2021,"Q3","Suriname","whynotMedical_nomoney"
2021,"Q3","Suriname","whynotMedical_noinsurance"
2021,"Q3","Suriname","whynotMedical_nomoney"
2021,"Q3","Suriname","whynotMedical_noinsurance"
2021,"Q3","Suriname","whynotMedical_nomoney"
2021,"Q3","Suriname","whynotMedical_noinsurance"
2021,"Q3","Suriname","whynotMedical_nomoney"
2021,"Q3","Suriname","whynotMedical_noinsurance"
2021,"Q3","Suriname","whynotMedical_nomoney"
2021,"Q3","Suriname","whynotMedical_noinsurance"
2021,"Q3","Suriname","whynotMedical_nomoney"
2021,"Q3","Suriname","whynotMedical_noinsurance"
2021,"Q3","Suriname","whynotMedical_noinsurance"
2021,"Q3","Suriname","whynotMedical_nomoney"
2021,"Q3","Suriname","whynotMedical_nomoney"
2021,"Q3","Suriname","whynotMedical_nomoney"
2021,"Q3","Suriname","whynotMedical_noinsurance"
2021,"Q3","Suriname","whynotMedical_noinsurance"
2021,"Q3","Suriname","whynotMedical_nomoney"
2021,"Q3","Suriname","whynotMedical_noinsurance"
2021,"Q3","Suriname","whynotMedical_noID"
2021,"Q3","Suriname","whynotMedical_feararrested"
2021,"Q3","Suriname","whynotMedical_nomoney"
2021,"Q3","Suriname","whynotMedical_noinsurance"
2021,"Q3","Suriname","whynotMedical_nomoney"
2021,"Q3","Suriname","whynotMedical_noinsurance"
2021,"Q3","Suriname","whynotMedical_nomoney"
2021,"Q3","Suriname","whynotMedical_nomoney"
2021,"Q3","Suriname","whynotMedical_noinsurance"
2021,"Q3","Suriname","whynotMedical_denied"
2021,"Q3","Suriname","whynotMedical_nomoney"
2021,"Q3","Suriname","whynotMedical_noinsurance"
2021,"Q3","Suriname","whynotMedical_nomoney"
