Year,Quarter,CountryOfAsylum,Reason_notmedical
2021,Q1Q2,Uruguay,whynotMedical_nomoney
2021,Q1Q2,Uruguay,whynotMedical_nomoney
2021,Q4,Uruguay,whynotMedical_nomoney
2021,Q4,Uruguay,whynotMedical_nomoney
2021,Q4,Uruguay,whynotMedical_nomoney
2021,Q1Q2,Uruguay,whynotMedical_noinsurance
2021,Q4,Uruguay,whynotMedical_noinsurance
2021,Q4,Uruguay,whynotMedical_noinsurance
2021,Q4,Uruguay,whynotMedical_noinsurance
2021,Q4,Uruguay,whynotMedical_noinsurance
2021,Q1Q2,Uruguay,whynotMedical_noID
2021,Q1Q2,Uruguay,whynotMedical_noID
2021,Q1Q2,Uruguay,whynotMedical_noID
2021,Q1Q2,Uruguay,whynotMedical_noID
2021,Q4,Uruguay,whynotMedical_noID
2021,Q4,Uruguay,whynotMedical_noID
2021,Q4,Uruguay,whynotMedical_noID
2021,Q4,Uruguay,whynotMedical_noID
2021,Q4,Uruguay,whynotMedical_noID
2021,Q4,Uruguay,whynotMedical_noinfo
2021,Q4,Uruguay,whynotMedical_noinfo
2021,Q1Q2,Uruguay,whynotMedical_notavailable
2021,Q1Q2,Uruguay,whynotMedical_notavailable
2021,Q1Q2,Uruguay,whynotMedical_notavailable
2021,Q1Q2,Uruguay,whynotMedical_notavailable
2021,Q4,Uruguay,whynotMedical_notavailable
2021,Q4,Uruguay,whynotMedical_notavailable
2021,Q4,Uruguay,whynotMedical_notavailable
2021,Q4,Uruguay,whynotMedical_notavailable
2021,Q4,Uruguay,whynotMedical_notavailable
2021,Q4,Uruguay,whynotMedical_denied
2021,Q4,Uruguay,whynotMedical_denied
