Year,Quarter,CountryOfAsylum,Reason_notschool
2021,Q3,Uruguay,Childwhynotschool_nodocs
2021,Q3,Uruguay,Childwhynotschool_nodocs
2021,Q4,Uruguay,Childwhynotschool_nodocs
2021,Q4,Uruguay,Childwhynotschool_nodocs
2021,Q4,Uruguay,Childwhynotschool_nodocs
2021,Q4,Uruguay,Childwhynotschool_nodocs
2021,Q3,Uruguay,Childwhynotschool_nomoney
2021,Q4,Uruguay,Childwhynotschool_nomoney
2021,Q1Q2,Uruguay,Childwhynotschool_recentlyarrive
2021,Q1Q2,Uruguay,Childwhynotschool_recentlyarrive
2021,Q3,Uruguay,Childwhynotschool_recentlyarrive
2021,Q3,Uruguay,Childwhynotschool_recentlyarrive
2021,Q4,Uruguay,Childwhynotschool_recentlyarrive
2021,Q4,Uruguay,Childwhynotschool_recentlyarrive
2021,Q4,Uruguay,Childwhynotschool_recentlyarrive
2021,Q4,Uruguay,Childwhynotschool_recentlyarrive
2021,Q4,Uruguay,Childwhynotschool_recentlyarrive
2021,Q3,Uruguay,Childwhynotschool_noinfo
2021,Q4,Uruguay,Childwhynotschool_noinfo
