Year,Quarter,CountryOfAsylum,nationality,intentionmove,TotalAdult,TotalMinor,AppliedRefugee,Childinschool,Childvirtualed,medicalReceived,RiskYes,RiskReturn_medical
2020,Q4,Argentina,venezuela,stay,2,0,nointention,Not Applicable,Not Applicable,StronglyAgree,StronglyAgree,1
2020,Q4,Argentina,venezuela,dontknow,3,2,Unknown,yes,no,Agree,Agree,1
2020,Q4,Argentina,venezuela,stay,2,2,nointention,yes,yes,StronglyAgree,Agree,0
2020,Q4,Argentina,venezuela,stay,3,1,Unknown,yes,yes,Disagree,Agree,1
2020,Q4,Argentina,venezuela,relocate,2,0,nointention,Not Applicable,Not Applicable,StronglyAgree,Agree,1
2020,Q4,Argentina,venezuela,stay,2,1,nointention,yes,yes,StronglyAgree,StronglyAgree,0
2020,Q4,Argentina,venezuela,stay,2,1,nointention,yes,no,Agree,StronglyAgree,1
2020,Q4,Argentina,venezuela,stay,2,2,nointention,yes,no,StronglyAgree,Agree,1
2020,Q4,Argentina,venezuela,relocate,2,1,nointention,yes,yes,StronglyAgree,Agree,0
2020,Q4,Argentina,venezuela,stay,3,1,nointention,yes,no,Undecided,Agree,1
2020,Q4,Argentina,venezuela,stay,2,1,nointention,yes,yes,StronglyAgree,Agree,1
2020,Q4,Argentina,venezuela,stay,3,1,nointention,yes,no,StronglyAgree,Agree,1
2020,Q4,Argentina,venezuela,stay,2,1,Unknown,yes,no,StronglyAgree,StronglyAgree,1
2020,Q4,Argentina,venezuela,stay,1,2,nointention,yes,yes,Undecided,Agree,0
2020,Q4,Argentina,venezuela,stay,3,1,nointention,yes,yes,Undecided,Agree,1
2020,Q4,Argentina,venezuela,stay,1,0,nointention,Not Applicable,Not Applicable,Undecided,Agree,0
2020,Q4,Argentina,venezuela,stay,2,0,nointention,Not Applicable,Not Applicable,Agree,Agree,1
2020,Q4,Argentina,venezuela,stay,3,0,nointention,Not Applicable,Not Applicable,StronglyAgree,Agree,1
2020,Q4,Argentina,venezuela,relocate,2,1,nointention,yes,no,Undecided,Agree,0
2020,Q4,Argentina,venezuela,stay,2,1,nointention,yes,no,StronglyAgree,StronglyAgree,1
2020,Q4,Argentina,venezuela,stay,1,0,nointention,Not Applicable,Not Applicable,Disagree,StronglyAgree,1
2020,Q4,Argentina,venezuela,stay,3,0,nointention,Not Applicable,Not Applicable,StronglyAgree,StronglyAgree,0
2020,Q4,Argentina,venezuela,stay,2,0,nointention,Not Applicable,Not Applicable,StronglyAgree,StronglyAgree,1
2020,Q4,Argentina,venezuela,stay,2,1,nointention,yes,yes,StronglyAgree,Agree,1
2020,Q4,Argentina,venezuela,relocate,3,1,nointention,yes,no,Agree,Agree,0
2020,Q4,Argentina,venezuela,stay,2,1,nointention,yes,no,Agree,Disagree,0
2020,Q4,Argentina,venezuela,relocate,1,0,nointention,Not Applicable,Not Applicable,StronglyAgree,Agree,0
2020,Q4,Argentina,venezuela,stay,6,1,nointention,yes,yes,StronglyAgree,Agree,1
2020,Q4,Argentina,venezuela,stay,1,0,nointention,Not Applicable,Not Applicable,StronglyAgree,StronglyAgree,1
2020,Q4,Argentina,venezuela,stay,5,1,nointention,yes,no,Agree,Agree,0
2020,Q4,Argentina,venezuela,stay,2,1,nointention,yes,yes,Undecided,Disagree,0
2020,Q4,Argentina,venezuela,stay,3,0,nointention,Not Applicable,Not Applicable,Agree,StronglyAgree,0
2020,Q4,Argentina,venezuela,relocate,1,0,nointention,Not Applicable,Not Applicable,Undecided,Agree,0
2020,Q4,Argentina,venezuela,stay,2,1,nointention,yes,no,StronglyAgree,Agree,1
2020,Q4,Argentina,venezuela,stay,2,1,nointention,yes,yes,Agree,Agree,0
2020,Q4,Argentina,venezuela,dontknow,3,2,nointention,yes,no,Undecided,Disagree,0
2020,Q4,Argentina,venezuela,stay,1,0,nointention,Not Applicable,Not Applicable,Undecided,Agree,1
2020,Q4,Argentina,venezuela,stay,1,0,yes,Not Applicable,Not Applicable,StronglyAgree,Agree,0
2020,Q4,Argentina,venezuela,stay,1,0,nointention,Not Applicable,Not Applicable,Undecided,Agree,0
2020,Q4,Argentina,venezuela,stay,3,2,yes,yes,yes,StronglyAgree,Agree,1
2020,Q4,Argentina,venezuela,relocate,1,0,yes,Not Applicable,Not Applicable,StronglyAgree,StronglyAgree,1
2020,Q4,Argentina,venezuela,stay,2,1,nointention,yes,no,StronglyAgree,StronglyAgree,0
2020,Q4,Argentina,venezuela,stay,3,2,nointention,yes,no,Agree,Agree,1
2020,Q4,Argentina,venezuela,relocate,2,1,nointention,yes,yes,Undecided,Agree,1
