"CountryOfAsylum","nationality","ethnicity","intentionmove","TotalAdult","TotalMinor","AppliedRefugee","documentation_id","Childinschool","Childvirtualed","Childwhynotschool_nodocs","Childwhynotschool_nomoney","Childwhynotschool_failedschool","Childwhynotschool_childwork","Childwhynotschool_fearschool","Childwhynotschool_disease","Childwhynotschool_disability","Childwhynotschool_helphome","Childwhynotschool_familynot","Childwhynotschool_noschools","Childwhynotschool_nointerest","Childwhynotschool_pregnancy","Childwhynotschool_nospot","Childwhynotschool_notransport","Childwhynotschool_discrimnation","Childwhynotschool_discrimethnic","Childwhynotschool_finished","Childwhynotschool_recentlyarrive","Childwhynotschool_intransit","Childwhynotschool_noinfo","Childwhynotschool_toolate","disabilityacc_disabilityserv","medicalReceived","RiskYes","RiskReturn_medical","RiskStay_medical","whynotMedical_nomoney","whynotMedical_noinsurance","whynotMedical_noID","whynotMedical_noinfo","whynotMedical_feararrested","whynotMedical_distance","whynotMedical_notavailable","whynotMedical_denied","Year"
"RepublicaDominicana","other",NA,"stay",NA,NA,"no",0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Agree","Disagree",0,0,0,0,0,0,0,0,0,0,2021
"RepublicaDominicana","other",NA,"stay",3,0,"no",1,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Agree","Disagree",0,0,0,0,0,0,0,0,0,0,2021
"RepublicaDominicana","other",NA,"stay",1,0,"no",0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"StronglyAgree","StronglyAgree",0,0,0,0,0,0,0,0,0,0,2021
"RepublicaDominicana","other",NA,"relocate",1,1,"no",0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"StronglyAgree","StronglyDisagree",0,0,0,0,0,0,0,0,0,0,2021
"RepublicaDominicana","other",NA,"stay",2,0,"no",0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"StronglyAgree","StronglyAgree",0,0,0,0,0,0,0,0,0,0,2021
"RepublicaDominicana","other",NA,"stay",NA,NA,"no",0,"yes","Nainpersonclasses",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"StronglyAgree","StronglyAgree",0,0,0,0,0,0,0,0,0,0,2021
"RepublicaDominicana","other",NA,"stay",NA,NA,"no",0,"yes","Nainpersonclasses",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Agree","Agree",0,0,0,0,0,0,0,0,0,0,2021
"RepublicaDominicana","other",NA,"stay",1,0,"yes",0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Agree","Disagree",0,0,0,0,0,0,0,0,0,0,2021
"RepublicaDominicana","other",NA,"stay",1,0,"no",0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"StronglyDisagree",0,0,0,0,0,0,0,0,0,0,2021
"RepublicaDominicana","other",NA,"relocate",3,1,"yes",0,"yes","Nainpersonclasses",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"StronglyDisagree",0,0,0,0,0,0,0,0,0,0,2021
