"CountryofAsylum","nationality","ethnicity","intentionmove","TotalAdult","TotalMinor","AppliedRefugee","documentation_id","Childinschool","Childvirtualed","Childwhynotschool_nodocs","Childwhynotschool_nomoney","Childwhynotschool_failedschool","Childwhynotschool_childwork","Childwhynotschool_fearschool","Childwhynotschool_disease","Childwhynotschool_disability","Childwhynotschool_helphome","Childwhynotschool_familynot","Childwhynotschool_noschools","Childwhynotschool_nointerest","Childwhynotschool_pregnancy","Childwhynotschool_nospot","Childwhynotschool_notransport","Childwhynotschool_discrimnation","Childwhynotschool_discrimethnic","Childwhynotschool_finished","Childwhynotschool_recentlyarrive","Childwhynotschool_intransit","Childwhynotschool_noinfo","Childwhynotschool_toolate","Childwhynotschool_nolanguage","disabilityacc_disabilityserv","medicalReceived","RiskYes","RiskReturn_medical","RiskStay_medical","whynotMedical_nomoney","whynotMedical_noinsurance","whynotMedical_noID","whynotMedical_noinfo","whynotMedical_feararrested","whynotMedical_distance","whynotMedical_notavailable","whynotMedical_denied","Year"
"Guatemala","nicaragua",NA,NA,1,0,"yes",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","StronglyAgree",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020
"Guatemala","",NA,NA,1,2,"yes",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"StronglyAgree","StronglyAgree",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020
"Guatemala","",NA,NA,1,1,"yes",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","StronglyAgree",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020
"Guatemala","nicaragua",NA,NA,2,1,"yes",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"StronglyAgree","Undecided",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020
"Guatemala","",NA,NA,2,1,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"StronglyAgree","StronglyAgree",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020
"Guatemala","honduras",NA,NA,1,0,"yes",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Agree","StronglyAgree",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020
"Guatemala","salvador",NA,NA,2,2,"yes",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"StronglyAgree","StronglyAgree",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020
"Guatemala","",NA,NA,2,1,"yes",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Undecided","Agree",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020
"Guatemala","venezuela",NA,NA,3,0,"yes",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"StronglyAgree","StronglyAgree",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020
"Guatemala","honduras",NA,NA,2,5,"yes",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"StronglyAgree","StronglyAgree",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020
