"CountryofAsylum","nationality","ethnicity","intentionmove","TotalAdult","TotalMinor","AppliedRefugee","documentation_id","Childinschool","Childvirtualed","Childwhynotschool_nodocs","Childwhynotschool_nomoney","Childwhynotschool_failedschool","Childwhynotschool_childwork","Childwhynotschool_fearschool","Childwhynotschool_disease","Childwhynotschool_disability","Childwhynotschool_helphome","Childwhynotschool_familynot","Childwhynotschool_noschools","Childwhynotschool_nointerest","Childwhynotschool_pregnancy","Childwhynotschool_nospot","Childwhynotschool_notransport","Childwhynotschool_discrimnation","Childwhynotschool_discrimethnic","Childwhynotschool_finished","Childwhynotschool_recentlyarrive","Childwhynotschool_intransit","Childwhynotschool_noinfo","Childwhynotschool_toolate","Childwhynotschool_nolanguage","disabilityacc_disabilityserv","medicalReceived","RiskYes","RiskReturn_medical","RiskStay_medical","whynotMedical_nomoney","whynotMedical_noinsurance","whynotMedical_noID","whynotMedical_noinfo","whynotMedical_feararrested","whynotMedical_distance","whynotMedical_notavailable","whynotMedical_denied","Year"
"Panama","venezuela",NA,"stay",2,2,"yes",1,"yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Disagree","Agree",1,NA,1,0,0,0,0,0,0,0,2020
"Panama","nicaragua",NA,"stay",2,0,"yes",1,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"StronglyAgree","StronglyAgree",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020
"Panama","",NA,"relocate",2,1,"yes",1,"yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Agree","StronglyAgree",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020
"Panama","colombia",NA,"stay",1,0,"yes",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"StronglyAgree","StronglyAgree",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020
"Panama","venezuela",NA,"stay",2,2,"",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Agree",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020
"Panama","nicaragua",NA,"stay",2,1,"yes",0,"no","",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,"","StronglyAgree",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020
"Panama","colombia",NA,"dontknow",2,3,"yes",0,"yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"StronglyAgree","Agree",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020
"Panama","colombia",NA,"stay",NA,NA,"yes",0,"notell","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"StronglyAgree","StronglyAgree",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020
"Panama","",NA,"relocate",3,2,"",1,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"StronglyAgree","Agree",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020
"Panama","nicaragua",NA,"stay",2,1,"yes",1,"no","",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,"","StronglyAgree",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020
"Panama","",NA,"stay",1,0,"yes",1,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"StronglyAgree","StronglyAgree",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020
"Panama","",NA,"stay",NA,NA,"yes",1,"yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"StronglyAgree","StronglyAgree",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020
"Panama","venezuela",NA,"stay",2,2,"yes",0,"yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","StronglyAgree",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020
"Panama","venezuela",NA,"stay",4,1,"yes",1,"no","",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,"StronglyAgree","StronglyAgree",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020
"Panama","venezuela",NA,"stay",1,0,"yes",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Undecided",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020
