year,CountryOfAsylum,nationality,ethnicity,intentionmove,TotalAdult,TotalMinor,AppliedRefugee,documentation_id,Childinschool,Childvirtualed,Childwhynotschool_nodocs,Childwhynotschool_nomoney,Childwhynotschool_failedschool,Childwhynotschool_childwork,Childwhynotschool_fearschool,Childwhynotschool_disease,Childwhynotschool_disability,Childwhynotschool_helphome,Childwhynotschool_other,Childwhynotschool_noschools,Childwhynotschool_nointerest,Childwhynotschool_pregnancy,Childwhynotschool_nospot,Childwhynotschool_notransport,Childwhynotschool_discrimnation,Childwhynotschool_discrimethnic,Childwhynotschool_finished,Childwhynotschool_recentlyarrive,Childwhynotschool_intransit,Childwhynotschool_noinfo,Childwhynotschool_toolate,disabilityacc_disabilityserv,medicalReceived,RiskYes,RiskReturn_medical,RiskStay_medical,whynotMedical_nomoney,whynotMedical_noinsurance,whynotMedical_noID,whynotMedical_noinfo,whynotMedical_feararrested,whynotMedical_distance,whynotMedical_notavailable,whynotMedical_denied
2020,Peru,venezuela,,relocate,1.0,0.0,nointention,0.0,,,,,,,,,,,,,,,,,,,,,,,,,StronglyAgree,StronglyAgree,1.0,,,,,,,,,
2020,Peru,venezuela,,stay,2.0,2.0,,1.0,yes,yes,,,,,,,,,,,,,,,,,,,,,,,Agree,StronglyAgree,0.0,,,,,,,,,
2020,Peru,venezuela,,stay,2.0,1.0,nointention,1.0,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Agree,StronglyAgree,1.0,,,,,,,,,
2020,Peru,venezuela,,relocate,1.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,StronglyAgree,1.0,,,,,,,,,
2020,Peru,venezuela,,stay,3.0,1.0,,1.0,yes,no,,,,,,,,,,,,,,,,,,,,,,0.0,Agree,Agree,1.0,,,,,,,,,
2020,Peru,venezuela,,stay,2.0,1.0,yes,0.0,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,Agree,1.0,,,,,,,,,
2020,Peru,venezuela,,stay,2.0,2.0,nointention,1.0,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,StronglyAgree,1.0,,,,,,,,,
2020,Peru,venezuela,,stay,2.0,3.0,yes,1.0,yes,no,,,,,,,,,,,,,,,,,,,,,,,StronglyAgree,StronglyAgree,1.0,,,,,,,,,
2020,Peru,venezuela,,stay,2.0,5.0,yes,1.0,no,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,StronglyAgree,1.0,,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
2020,Peru,venezuela,,dontknow,2.0,1.0,,1.0,no,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,StronglyAgree,StronglyAgree,1.0,,,,,,,,,
2020,Peru,venezuela,,stay,1.0,0.0,yes,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,1.0,,,,,,,,,
2020,Peru,,,stay,3.0,0.0,nointention,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,Undecided,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
