"year_of_monitoring","month_of_monitoring","location_type","country","consent_interview","stay_current_location","number_of_months_out_of_country","how_many_family_members","country_of_origin","different_nationality_venezuela","different_nationality_colombia","different_nationality_nicaragua","different_nationality_cuba","different_nationality_haiti","different_nationality_stateless","different_nationality_other","different_nationality_na","family_size_before_displacement","family_size_changed","family_members_not_here","why_size_diff_newborn","why_size_diff_stay_coo","why_size_diff_stay_other_country","why_size_diff_return_coo","why_size_diff_moved_further","why_size_diff_separation_div","why_size_diff_child_marriage","why_size_diff_detained","why_size_diff_missing","why_size_diff_abducted","why_size_diff_deported_change","why_size_diff_death","why_size_diff_other","reasons_stayed_health_prob","reasons_stayed_lack_funds","reasons_stayed_security","reasons_stayed_work_study","reasons_stayed_care_property","reasons_stayed_caring_dependant","reasons_stayed_old_age","reasons_stayed_not_allow_out","reasons_stayed_other","reasons_stayed_dont_know","referral_missing_abducted_detain","requires_support_absent_member","reasons_flight_victim","reasons_flight_threats","reasons_flight_fear_recruit","reasons_flight_fear_insec","reasons_flight_fearz_pers","reasons_flight_lack_empl","reasons_flight_lack_food","reasons_flight_lack_health","reasons_flight_lack_educ","reasons_flight_fam_reun","reasons_flight_other","reasons_flight_dont_know","num_transit_countries","travel_type_alone","travel_type_family_group","travel_type_other_groups","travel_type_large_groups","traveled_by_bus","traveled_by_taxi","traveled_by_car","traveled_by_walking","traveled_by_airplane","traveled_by_ship","traveled_by_hitchhiking","traveled_by_train","traveled_by_other","money_to_travel_there","currency_travel","money_to_travel_there_usd","financed_trip_limit_adult_food","financed_trip_reduced_food","financed_trip_borrow_money","financed_trip_work_for_food","financed_trip_family_support","financed_trip_use_savings","financed_trip_reduce_exp","financed_trip_sell_assets","financed_trip_aid_agency","financed_trip_aid_host","financed_trip_skipped_rent","financed_trip_changed_shelter","financed_trip_child_out_school","financed_trip_other","financed_trip_none","coping_mech_road_send_child_away","coping_mech_road_child_work","coping_mech_road_begg","coping_mech_road_scavenging_food","coping_mech_road_survival_sex","coping_mech_road_early_marriage","coping_mech_road_other","coping_mech_road_none","route_info_facebook","route_info_facebook_jaguar","route_info_whatsapp","route_info_twitter","route_info_instagram","route_info_internet","route_info_television","route_info_newspaper","route_info_church","route_info_talking_with_people","route_info_other","route_info_none","facebook","help_to_leave","who_help_leave_acq_coo","who_help_leave_acq_other_country","who_help_leave_offered_service","who_help_leave_met_online","who_help_leave_other","who_help_leave_do_not_want","help_to_leave_incident","help_to_leave_still_in_contact","prev_deport_yes_deported","prev_deport_yes_forced_return","prev_deport_yes_refused_entry","prev_deport_none_of_above","deport_country","route_ref_appl_dont_know","route_ref_appl_not_needed","route_ref_appl_no_info","route_ref_appl_wanted_not_allow","route_ref_appl_transiting","route_ref_appl_tried_not_allow","route_ref_appl_told_not_to","route_ref_appl_other","entry_reg_irreg","ing_irreg_no_docs","ing_irreg_fear_detained","ing_irreg_fear_deported","ing_irreg_expired_docs","ing_irreg_fear_security","ing_irreg_other","doc_carried_passport","doc_carried_identity_card","doc_carried_birth_certif","doc_carried_none","doc_carried_other","doc_carried_child","doc_enter","doc_enter_child_passport","doc_enter_child_identity_card","doc_enter_child_birth_certif","doc_enter_child_none","doc_enter_child_other","doc_enter_child_na","residence_visa","asylum_applied","asylum_cost_official_fees","asylum_cost_transportation","asylum_cost_unofficial_fee","asylum_cost_others","why_no_asylum_appl_dont_know","why_no_asylum_appl_lengthy","why_no_asylum_appl_see_no_value","why_no_asylum_appl_not_allowed","why_no_asylum_appl_told_not_to","why_no_asylum_appl_costs","why_no_asylum_appl_transiting","why_no_asylum_appl_fear_no_back","why_no_asylum_appl_just_arrived","why_no_asylum_appl_not_needed","why_no_asylum_appl_no_info","why_no_asylum_appl_other","asylum_apply_intention","birth_recorded","birth_not_recorded_lack_docs","birth_not_recorded_legal_status","birth_not_recorded_lack_info","birth_not_recorded_costs","birth_not_recorded_no_allowed_in","birth_not_recorded_other","housing_type","at_current_location","rent","rent_currency","rent_usd","rent_monthly_or_daily","zero_rent","rooms_in_house","bathroom_type","water_access","electricity_access","moves_since_arrival","people_in_house","families_in_house","bathrooms_in_house","faced_housing_obstacles","housing_obstacles_no_resources","housing_obstacles_no_documents","housing_obstacles_no_guarantor","housing_obstacles_foreign","housing_obstacles_gender","housing_obstacles_babies","housing_obstacles_other","housing_obstacles_none","health_needed","gone_health_facility","why_not_gone_health_facility","health_type_public_center","health_type_public_hospital","health_type_private_clinic","health_type_private_doctor","health_type_ngo","health_type_community_services","health_type_none","health_type_other","health_received_assistance","why_no_health_assist_insurance","why_no_health_assist_docs","why_no_health_assist_resources","why_no_health_assist_no_info","why_no_health_assist_detention","why_no_health_assist_mild_case","why_no_health_assist_no_trust","why_no_health_assist_too_far","why_no_health_assist_other","occupation_coa","occupation_coa_contract","working_hours","no_respect_at_work","no_respect_at_work_discriminated","no_respect_at_work_harassed","no_respect_at_work_sexual","no_respect_at_work_disempowered","no_respect_at_work_other","income","income_currency","income_usd","income_type","expenditure","expenditure_currency","expenditure_usd","feel_safe","feel_discriminated","discriminated_age","discriminated_ethnicity","discriminated_nationality","discriminated_woman","discriminated_man","discriminated_sex_orientation","discriminated_religion","discriminated_other","interaction_local_population","association_member","priority_need_1","priority_need_2","priority_need_3","can_pay_for","meals_per_day","coping_mech_1_limit_adult_food","coping_mech_1_reduced_food","coping_mech_1_borrow_money","coping_mech_1_work_for_food","coping_mech_1_family_support","coping_mech_1_use_savings","coping_mech_1_reduce_exp","coping_mech_1_sell_assets","coping_mech_1_aid_agency","coping_mech_1_aid_host","coping_mech_1_skipped_rent","coping_mech_1_changed_shelter","coping_mech_1_child_out_school","coping_mech_1_aid_gov","coping_mech_1_other","coping_mech_1_none","coping_mech_2_send_child_away","coping_mech_2_child_work","coping_mech_2_begg","coping_mech_2_scavenging_food","coping_mech_2_survival_sex","coping_mech_2_early_marriage","coping_mech_2_other","coping_mech_2_none","suffered_incident","referral_incidents","movement_intention","plan_move_another_country","risk_return_food","risk_return_health","risk_return_employment","risk_return_life","risk_return_extortion","risk_return_recruitment","risk_return_discrimination","risk_return_violence","risk_return_other","risk_return_none","internally_displaced","family_referral","id","weight"
"2019","08","urban","chile","yes","00 to 06","00 to 06","01","venezuela",,,,,,,,,"05",,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0,0,1,0,1,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,,,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,"no",,,,,,,,,0,0,1,0,"chile",,,,,,,,,"no",1,0,0,0,0,0,0,1,0,,,,,,,,,,,"irregular","no",,,,,0,0,1,0,0,0,0,0,0,0,,0,"no",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"most_pressing_needs",,,,,,,,,,,,,,,,,,,,,,,,,,"si","no","relocate_withi",,1,0,0,1,0,0,0,0,0,0,"no","no",6696154,119.390200102617
"2019","08","urban","chile","yes","00 to 06","13 or more","01","venezuela",,,,,,,,,"07",,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,"no",,,,,,,,,0,0,1,0,"chile",,,,,,,,,"no",1,0,0,0,0,0,0,1,0,,,,,,,,,,,"irregular","no",,,,,1,0,0,0,0,0,0,0,0,0,,0,"dont_know",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"most_pressing_needs",,,,,,,,,,,,,,,,,,,,,,,,,,"si","no","stay_here",,1,0,0,0,0,0,0,1,0,0,"no","no",6696155,119.390200102617
"2019","08","urban","chile","yes","07 to 12","07 to 12","02","venezuela",,,,,,,,,"06",,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,0,0,0,0,0,1,1,1,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,1,0,0,0,1,0,0,,"no",,,,,,,,,0,0,0,1,,,,,,,,,,"si",,,,,,,1,1,0,,,,,,,,,,,"turista","no",,,,,1,0,0,0,0,0,0,0,0,0,,0,"no",,,,,,,,"rented","00 to 06",170,"usd",170,,,1,"shared_toilet","yes","yes",,,,,"no",,,,,,,,,"no",,,,,,,,,,,,,,,,,,,,,"street_selling",,,,,,,,,,,,,300,"usd",300,"yes","yes",,,,,,,,,"regular","no","acceso_a_trabajo","regularizaci_n_de_estad_a_lega","documentos","most_and_basic","2",0,1,0,0,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,"no",,"go_back_home",,0,1,1,1,1,0,0,0,0,0,"no","no",6696157,119.390200102617
"2019","08","urban","chile","yes","00 to 06","00 to 06","04","venezuela",,,,,,,,,"06",,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,1,0,0,0,1,0,0,,"dont_know",,,,,,,,,0,0,1,0,"chile",,,,,,,,,"no",0,0,0,1,0,0,0,1,1,,,,,,,,,,,"irregular","no",,,,,1,0,0,0,0,0,0,0,0,0,,0,"yes_here",,,,,,,,"rented","00 to 06",80000,"chilean_peso",120,,,1,"shared_toilet","yes","yes",,,,,"no",,,,,,,,,"no",,,,,,,,,,,,,,,,,,,,,"unemployed",,,,,,,,,,,,,2e+05,"chilean_peso",300,"yes","no",,,,,,,,,"buena","no","documentos","alimentaci_n","no_need","non_of_needs","3",0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,1,"no",,"go_back_home",,1,1,0,1,0,0,0,0,0,0,"no","no",6696158,119.390200102617
"2019","08","urban","chile","yes","00 to 06","07 to 12","01","venezuela",,,,,,,,,"10 or more",,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,,,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,,"si",0,0,0,1,0,,"no",,0,0,1,0,"chile",,,,,,,,,"no",1,0,0,0,0,1,1,1,1,,,,,,,,,,,"irregular","no",,,,,1,0,0,0,0,0,0,0,0,0,,0,"no",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"most_and_basic",,,,,,,,,,,,,,,,,,,,,,,,,,"no",,"stay_here",,0,0,1,0,0,0,0,0,1,0,"no","no",6696170,119.390200102617
"2019","08","urban","chile","yes","00 to 06","00 to 06","03","venezuela",,,,,,,,,"03",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,,,,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,"no",,,,,,,,,0,0,1,0,"chile",,,,,,,,,"no",1,0,0,0,0,0,1,1,1,,,,,,,,,,,"irregular","no",,,,,1,0,0,0,0,0,0,0,0,0,,0,"yes_here",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"most_and_basic",,,,,,,,,,,,,,,,,,,,,,,,,,"no",,"relocate_withi",,0,0,1,0,0,0,0,0,0,0,"no","no",6696171,119.390200102617
"2019","08","urban","chile","yes","00 to 06","07 to 12","04","venezuela",,,,,,,,,"10 or more",,,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,0,0,0,1,0,1,1,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,,,,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,"no",,,,,,,,,0,0,1,0,"chile",,,,,,,,,"no",1,0,0,0,0,0,0,1,0,,,,,,,,,,,"irregular","no",,,,,1,0,0,0,0,0,0,0,0,0,,0,"no",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"most_and_basic",,,,,,,,,,,,,,,,,,,,,,,,,,"no",,"stay_here",,0,0,0,0,0,0,0,0,0,1,"no","no",6696172,119.390200102617
"2019","08","urban","chile","yes","00 to 06","07 to 12","01","venezuela",,,,,,,,,"04",,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,1,0,1,1,0,1,1,1,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,1,1,0,,"no",,,,,,,,,0,0,1,0,"chile",,,,,,,,,"no",1,0,0,0,0,1,0,1,0,,,,,,,,,,,"irregular","no",,,,,1,0,0,0,0,0,0,0,0,0,,0,"no",,,,,,,,"room_shared","00 to 06",80,"chilean_peso",0.12,,,1,"collective_toilet","yes","yes",,,,,"no",,,,,,,,,"no",,,,,,,,,,,,,,,,,,,,,"employed_informal","no","20_40",,,,,,,,,,,150,"chilean_peso",0.225,"no","no",,,,,,,,,"buena","no","sup_family","regularizaci_n_de_estad_a_lega","asesor_legal_prot","most_pressing_needs","3",0,1,1,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,"si","no","stay_here",,1,1,1,1,0,1,0,1,0,0,"no","no",6700356,119.390200102617
"2019","08","urban","chile","yes","00 to 06","00 to 06","04","venezuela",,,,,,,,,"04",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,,,,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,,"no",,,,,,,,,0,0,1,0,"chile",,,,,,,,,"no",1,0,0,0,0,1,0,1,1,,,,,,,,,,,"irregular","no",,,,,0,0,0,1,0,0,0,0,0,0,,0,"no",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"non_of_needs",,,,,,,,,,,,,,,,,,,,,,,,,,"no",,"relocate_withi",,0,0,0,0,0,0,0,0,0,1,"no","no",6700358,119.390200102617
"2019","08","urban","chile","yes","00 to 06","07 to 12","02","venezuela",,,,,,,,,"02",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,1,1,1,1,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,1,0,0,0,1,0,0,,"si",0,0,1,0,0,,"no",,0,0,0,1,,,,,,,,,,"si",,,,,,,0,1,0,,,,,,,,,,,"irregular","no",,,,,0,0,1,0,0,0,0,0,0,0,,0,"no",,,,,,,,"room_shared","00 to 06",150,"chilean_peso",0.225,,,1,"shared_toilet","yes","yes",,,,,"yes",1,0,0,0,0,0,0,0,"si","si",,1,0,0,0,0,0,0,0,"yes",,,,,,,,,,"other","no","less_20",,,,,,,,,,,3e+05,"chilean_peso",450,"yes","no",,,,,,,,,"buena","no","regularizaci_n_de_estad_a_lega","acceso_a_vivienda","acceso_a_educaci_n","most_pressing_needs","2",0,1,1,0,0,0,0,0,1,0,0,0,0,,0,0,1,0,1,1,0,0,0,0,"no",,"stay_here",,1,1,1,1,0,0,0,0,0,0,"no","no",6700359,119.390200102617
