"","x"
"CountryOfAsylum","Country of asylum"
"MonitoringDate","Date of monitoring"
"shortCBI","What type of interview are you conducting?"
"remoteorinperson","Phone or in person?"
"stafforpartner","UNHCR or partners?"
"interviewstat","What happened with the call?"
"relocationprog","Have you taken part in the voluntary relocation program (interiorização)?"
"nationality","Nationality"
"crossedborder","Have you had to leave your country of origin?"
"leftresidence","Have you had to leave your place of residence?"
"notsafehere","Do you feel safe were you currently reside?"
"DepartureDate","When did you leave your country of origin ?"
"DepartureDateIDP","When did you leave your place of residence?"
"ArriveThiscountry","When did you arrive to this country?"
"TransportMethod_boat","Means of transportation used to get here/Boat"
"TransportMethod_bus","Means of transportation used to get here/Bus"
"TransportMethod_car","Means of transportation used to get here/Car"
"TransportMethod_hitchHiking","Means of transportation used to get here/Hitch hiking"
"TransportMethod_other","Means of transportation used to get here/Other"
"TransportMethod_plane","Means of transportation used to get here/Plane"
"TransportMethod_taxi","Means of transportation used to get here/Taxi"
"TransportMethod_walk","Means of transportation used to get here/Walking"
"TransitCountries_Argentina","Countries traveled through until arrived here?/Argentina"
"TransitCountries_Bolivia","Countries traveled through until arrived here?/Bolivia"
"TransitCountries_Brazil","Countries traveled through until arrived here?/Brazil"
"TransitCountries_Canada","Countries traveled through until arrived here?/Canada"
"TransitCountries_Chile","Countries traveled through until arrived here?/Chile"
"TransitCountries_Colombia","Countries traveled through until arrived here?/Colombian"
"TransitCountries_Cuba","Countries traveled through until arrived here?/Cuban"
"TransitCountries_Ecuador","Countries traveled through until arrived here?/Ecuador"
"TransitCountries_Mexico","Countries traveled through until arrived here?/Mexican"
"TransitCountries_Nicaragua","Countries traveled through until arrived here?/Nicaraguan"
"TransitCountries_other","Countries traveled through until arrived here?/Other"
"TransitCountries_Panama","Countries traveled through until arrived here?/Panama"
"TransitCountries_Paraguay","Countries traveled through until arrived here?/Paraguay"
"TransitCountries_Peru","Countries traveled through until arrived here?/Peru"
"TransitCountries_RepDom","Countries traveled through until arrived here?/Dominican Republic"
"TransitCountries_TrinidadYTobago","Countries traveled through until arrived here?/Trinidad and Tobago"
"TransitCountries_Uruguay","Countries traveled through until arrived here?/Uruguay"
"TransitCountries_USA","Countries traveled through until arrived here?/United States"
"TransitCountries_Venezuela","Countries traveled through until arrived here?/Venezuelan"
"intentionmove","Do you plan to move from where you currently reside?"
"Intention","What is your main intention currently?"
"reasonsreturn_discrim","Why intention returning home country?/Xenophobia and discrimination"
"reasonsreturn_familyleft","Why intention returning home country?/Concern of family members"
"reasonsreturn_houseloss","Why intention returning home country?/Loss of home / eviction"
"reasonsreturn_jobloss","Why intention returning home country?/Loss of work or means of generating income"
"reasonsreturn_nodocs","Why intention returning home country?/Lack of documents or requirements"
"reasonsreturn_nomeds","Why intention returning home country?/Lack of access to healthcare / medicines"
"reasonsreturn_other","Why intention returning home country?/Other"
"reasonsreturn_violence","Why intention returning home country?/Fear of insecurity/violence"
"intentionspctr","To which other country do you intend to move to?"
"groupsize","Household size: dependent family members here with you"
"TotalAdult","Adult members in the household"
"TotalAdultFemale","Female adults in the household"
"TotalAdultMale","Male adults in the household"
"TotalMinor","Number of minors in the household"
"TotalMinorFemale","Female minors in the household"
"TotalMinorMale","Male minors in the household"
"Childinschool","Are the children enrolled in school?"
"Childvirtualed","Have resources and access to receive their education virtually"
"Childwhynotschool_childwork","Reasons children not in school/Job"
"Childwhynotschool_disability","Reasons children not in school/Disability"
"Childwhynotschool_discrimethnic","Reasons children not in school/Discrimination because of ethnicity"
"Childwhynotschool_discrimnation","Reasons children not in school/Discrimination due to nationality"
"Childwhynotschool_disease","Reasons children not in school/Disease"
"Childwhynotschool_failedschool","Reasons children not in school/School failure"
"Childwhynotschool_familynot","Reasons children not in school/The family does not allow the child to study"
"Childwhynotschool_fearschool","Reasons children not in school/Fear of educational staff"
"Childwhynotschool_finished","Reasons children not in school/Finished studies"
"Childwhynotschool_helphome","Reasons children not in school/Helps with household chores"
"Childwhynotschool_intransit","Reasons children not in school/In transit"
"Childwhynotschool_nodocs","Reasons children not in school/Lack of documents or requirements"
"Childwhynotschool_noinfo","Reasons children not in school/Lack of information how access services"
"Childwhynotschool_nointerest","Reasons children not in school/Not interested in studying"
"Childwhynotschool_nolanguage","Reasons children not in school/Does not speak the local language"
"Childwhynotschool_nomoney","Reasons children not in school/Lack of financial resources"
"Childwhynotschool_noschools","Reasons children not in school/No educational establishments nearby"
"Childwhynotschool_nospot","Reasons children not in school/Lack of space/available spot"
"Childwhynotschool_notransport","Reasons children not in school/Lack of transportation"
"Childwhynotschool_other","Reasons children not in school/Other"
"Childwhynotschool_pregnancy","Reasons children not in school/Pregnancy"
"Childwhynotschool_recentlyarrive","Reasons children not in school/New arrival"
"Childwhynotschool_toolate","Reasons children not in school/Late for enrolment"
"childbirthreg","Do the children have birth registration documents?"
"SpecificNeeds_none","Specific needs in household/None of the above happened"
"ethnicity","Ethnic group"
"disabilityacc_disabilityserv","Disability: difficulty accesing services/Communication services for disability"
"disabilityacc_docacc","Disability: difficulty accesing services/Access to documentation"
"disabilityacc_houselimit","Disability: difficulty accesing services/Limited housing options"
"disabilityacc_none","Disability: difficulty accesing services/None of the above happened"
"disabilityacc_privins","Disability: difficulty accesing services/Services of private institutions"
"disabilityacc_publicins","Disability: difficulty accesing services/Services of public institutions"
"disabilityacc_pubspaces","Disability: difficulty accesing services/Access to public spaces"
"disabilityacc_transport","Disability: difficulty accesing services/Transportation"
"disabilityacc_worklimit","Disability: difficulty accesing services/Limited job options"
"FamiliyLeft","Dependent family members had to stay behind in the country/place of origin?"
"householdLeftbehind","How many members of the household were left behind"
"reasons_stayed_border_close","Reasons family members stayed behind/Border close"
"reasons_stayed_care_property","Reasons family members stayed behind/Stayed taking care of property / assets"
"reasons_stayed_caring_dependant","Reasons family members stayed behind/Taking care of a dependant"
"reasons_stayed_continued","Reasons family members stayed behind/They continued the trip to another country"
"reasons_stayed_dont_know","Reasons family members stayed behind/Don't know"
"reasons_stayed_health_prob","Reasons family members stayed behind/Health issues"
"reasons_stayed_lack_docs","Reasons family members stayed behind/Lack of documents to work"
"reasons_stayed_lack_funds","Reasons family members stayed behind/Lack of funds"
"reasons_stayed_notell","Reasons family members stayed behind/Prefer not to tell"
"reasons_stayed_old_age","Reasons family members stayed behind/They are of old age"
"reasons_stayed_other","Reasons family members stayed behind/Other"
"reasons_stayed_returned","Reasons family members stayed behind/They left and then returned to home country"
"reasons_stayed_security","Reasons family members stayed behind/Risk to their security"
"reasons_stayed_stayed","Reasons family members stayed behind/They preferred to stay for personal reasons"
"reasons_stayed_othercountry","Reasons family members stayed behind/They stayed in another place during trip"
"reasons_stayed_work_study","Reasons family members stayed behind/For work or study"
"minorsleft","Were those left behind minors?"
"prevdeport_none","Have they been deported or refused entry?/None of the above happened"
"prevdeport_yesdeport","Have they been deported or refused entry?/Yes, deported"
"prevdeport_yesForcedreturn","Have they been deported or refused entry?/Yes, forzed return"
"prevdeport_yesRefusedentry","Have they been deported or refused entry?/Yes, refused entry"
"deportCountry_Argentina","Deported or refused entry from which country?/Argentina"
"deportCountry_Aruba","Deported or refused entry from which country?/Aruba"
"deportCountry_Belize","Deported or refused entry from which country?/Belize"
"deportCountry_Bolivia","Deported or refused entry from which country?/Bolivia"
"deportCountry_Brazil","Deported or refused entry from which country?/Brazil"
"deportCountry_Chile","Deported or refused entry from which country?/Chile"
"deportCountry_Colombia","Deported or refused entry from which country?/Colombian"
"deportCountry_CostaRica","Deported or refused entry from which country?/Costa Rica"
"deportCountry_Cuba","Deported or refused entry from which country?/Cuban"
"deportCountry_Curacao","Deported or refused entry from which country?/Curacao"
"deportCountry_Ecuador","Deported or refused entry from which country?/Ecuador"
"deportCountry_Guatemala","Deported or refused entry from which country?/Guatemalan"
"deportCountry_Honduras","Deported or refused entry from which country?/Honduran"
"deportCountry_Mexico","Deported or refused entry from which country?/Mexican"
"deportCountry_Nicaragua","Deported or refused entry from which country?/Nicaraguan"
"deportCountry_notsaid","Deported or refused entry from which country?/Prefer not to tell"
"deportCountry_other","Deported or refused entry from which country?/Other"
"deportCountry_Panama","Deported or refused entry from which country?/Panama"
"deportCountry_Paraguay","Deported or refused entry from which country?/Paraguay"
"deportCountry_Peru","Deported or refused entry from which country?/Peru"
"deportCountry_RepDom","Deported or refused entry from which country?/Dominican Republic"
"deportCountry_Suriname","Deported or refused entry from which country?/Suriname"
"deportCountry_USA","Deported or refused entry from which country?/United States"
"deportCountry_Venezuela","Deported or refused entry from which country?/Venezuelan"
"RouteIncident","Suffered or witnessed any incidents?"
"RouteIncidentType_abduction","What type of incidents?/Abduction or kidnapping"
"RouteIncidentType_arrest","What type of incidents?/Arbitrary arrest and / or unlawful detention"
"RouteIncidentType_bribery","What type of incidents?/Bribery from officials"
"RouteIncidentType_confine","What type of incidents?/Confinement or restriction of mobility"
"RouteIncidentType_deportation","What type of incidents?/Deportation"
"RouteIncidentType_despojo","What type of incidents?/Dispossetion"
"RouteIncidentType_destructProp","What type of incidents?/Destruction of property"
"RouteIncidentType_displaced","What type of incidents?/Forced displacement"
"RouteIncidentType_eviction","What type of incidents?/Eviction"
"RouteIncidentType_evictionthreat","What type of incidents?/Threat of eviction"
"RouteIncidentType_Exploitsex","What type of incidents?/Sexual exploitation"
"RouteIncidentType_Exploitwork","What type of incidents?/Labour exploitation"
"RouteIncidentType_Extors","What type of incidents?/Extorsion"
"RouteIncidentType_ForceDisappear","What type of incidents?/Disappear"
"RouteIncidentType_ForcedRecruit","What type of incidents?/Forced recruitment"
"RouteIncidentType_fraud","What type of incidents?/Scam or fraud"
"RouteIncidentType_homicide","What type of incidents?/Homicide"
"RouteIncidentType_notell","What type of incidents?/Prefer not to tell"
"RouteIncidentType_other","What type of incidents?/Other"
"RouteIncidentType_physAssault","What type of incidents?/Physical assault/abuse"
"RouteIncidentType_sexualAssault","What type of incidents?/Sexual assault"
"RouteIncidentType_theft","What type of incidents?/Theft"
"RouteIncidentType_threat","What type of incidents?/Physical threat or intimidation"
"RouteIncidentType_torture","What type of incidents?/Torture"
"RouteIncidentnotdisplaced","Suffered or witnessed any incidents? At home"
"RouteIncidentTypenodisp_abduct","What type of incidents?/Abduction or kidnapping"
"RouteIncidentTypenodisp_arrest","What type of incidents?/Arbitrary arrest and / or unlawful detention"
"RouteIncidentTypenodisp_bribery","What type of incidents?/Bribery from officials"
"RouteIncidentTypenodisp_deportat","What type of incidents?/Deportation"
"RouteIncidentTypenodisp_destrPro","What type of incidents?/Destruction of property"
"RouteIncidentTypenodisp_eviction","What type of incidents?/Eviction"
"RouteIncidentTypenodisp_evicthr","What type of incidents?/Threat of eviction"
"RouteIncidentTypenodisp_Explsex","What type of incidents?/Sexual exploitation"
"RouteIncidentTypenodisp_Explwork","What type of incidents?/Labour exploitation"
"RouteIncidentTypenodisp_fraud","What type of incidents?/Scam or fraud"
"RouteIncidentTypenodisp_homicide","What type of incidents?/Homicide"
"RouteIncidentTypenodisp_notell","What type of incidents?/Prefer not to tell"
"RouteIncidentTypenodisp_other","What type of incidents?/Other"
"RouteIncidentTypenodisp_physAss","What type of incidents?/Physical assault/abuse"
"RouteIncidentTypenodisp_sexAss","What type of incidents?/Sexual assault"
"RouteIncidentTypenodisp_theft","What type of incidents?/Theft"
"RouteIncidentTypenodisp_threat","What type of incidents?/Physical threat or intimidation"
"homicide_asylum","Where did the homocide occur?/In the current country"
"homicide_orgin","Where did the homocide occur?/In the country of origin"
"homicide_othercity","Where did the homocide occur?/In the current country, but in another city"
"homicide_trip","Where did the homocide occur?/During the Journey / In transit country"
"physicalAssault_asylum","Where did the physical assault occur?/In the current country"
"physicalAssault_orgin","Where did the physical assault occur?/In the country of origin"
"physicalAssault_othercity","Where did the physical assault occur?/In the current country, but in other city"
"physicalAssault_trip","Where did the physical assault occur?/During the Journey / In transit country"
"sexualAssault_asylum","Where did the sexual assault occur?/In the current country"
"sexualAssault_orgin","Where did the sexual assault occur?/In the country of origin"
"sexualAssault_othercity","Where did the sexual assault occur?/In the current country, but another city"
"sexualAssault_preferNot","Where did the sexual assault occur?/Prefer not to say"
"sexualAssault_trip","Where did the sexual assault occur?/During the Journey / In transit country"
"abductionORkidnapping_asylum","Where did the abduction occur?/In the current country"
"abductionORkidnapping_orgin","Where did the abduction occur?/In the country of origin"
"abductionORkidnapping_othercity","Where did the abduction occur?/In the current country, but in another city"
"abductionORkidnapping_preferNot","Where did the abduction occur?/Prefer not to say"
"abductionORkidnapping_trip","Where did the abduction occur?/During the Journey / In transit country"
"exploitationsex_asylum","Where did sex exploitation occur?/In the current country"
"exploitationsex_orgin","Where did sex exploitation occur?/In the country of origin"
"exploitationsex_othercity","Where did sex exploitation occur?/In the current country, but in another city"
"exploitationsex_trip","Where did sex exploitation occur?/During the Journey / In transit country"
"exploitationwork_asylum","Where did work exploitation occur?/In the current country"
"exploitationwork_orgin","Where did work exploitation occur?/In the country of origin"
"exploitationwork_othercity","Where did work exploitation occur?/In the current country, but in another city"
"exploitationwork_preferNot","Where did work exploitation occur?/Prefer not to say"
"exploitationwork_trip","Where did work exploitation occur?/During the Journey / In transit country"
"arrestORdetention_asylum","Where did the arbitrary arrest occur?/In the current country"
"arrestORdetention_orgin","Where did the arbitrary arrest occur?/In the country of origin"
"arrestORdetention_othercity","Where did the arbitrary arrest occur?/In the current country, but another city"
"arrestORdetention_preferNot","Where did the arbitrary arrest occur?/Prefer not to say"
"arrestORdetention_trip","Where did the arbitrary arrest occur?/During the Journey / In transit country"
"threat_asylum","Where did the threat or intimidation occur?/In the current country"
"threat_orgin","Where did the threat or intimidation occur?/In the country of origin"
"threat_othercity","Where did the threat or intimidation occur?/In current country, but another city"
"threat_trip","Where did the threat or intimidation occur?/During journey in transit country"
"fraud_asylum","Where did the scam or fraud occur?/In the current country"
"fraud_orgin","Where did the scam or fraud occur?/In the country of origin"
"fraud_othercity","Where did the scam or fraud occur?/In the current country, but in another city"
"fraud_trip","Where did the scam or fraud occur?/During the Journey / In transit country"
"theft_asylum","Where did the theft occur?/In the current country"
"theft_orgin","Where did the theft occur?/In the country of origin"
"theft_othercity","Where did the theft occur?/In the current country, but in another city"
"theft_preferNot","Where did the theft occur?/Prefer not to say"
"theft_trip","Where did the theft occur?/During the Journey / In transit country"
"eviction_asylum","Where did the eviction occur?/In the current country"
"eviction_orgin","Where did the eviction occur?/In the country of origin"
"eviction_othercity","Where did the eviction occur?/In the current country, but in another city"
"eviction_preferNot","Where did the eviction occur?/Prefer not to say"
"eviction_trip","Where did the eviction occur?/During the Journey / In transit country"
"evictionthreat_asylum","Where did the eviction occur?/In the current country"
"evictionthreat_orgin","Where did the eviction occur?/In the country of origin"
"evictionthreat_othercity","Where did the eviction occur?/In the current country, but in another city"
"evictionthreat_preferNot","Where did the eviction occur?/Prefer not to say"
"evictionthreat_trip","Where did the eviction occur?/During the Journey / In transit country"
"deportation_asylum","Where did the deportation occur?/In the current country"
"deportation_orgin","Where did the deportation occur?/In the country of origin"
"deportation_othercity","Where did the deportation occur?/In the current country, but in another city"
"deportation_preferNot","Where did the deportation occur?/Prefer not to say"
"deportation_trip","Where did the deportation occur?/During the Journey / In transit country"
"destructionProperty_asylum","Where did the destruction of property occur?/In the current country"
"destructionProperty_orgin","Where did the destruction of property occur?/In the country of origin"
"destructionProperty_othercity","Where did the destruction of property occur?/In current country but another city"
"destructionProperty_trip","Where did the destruction of property occur?/During journey, transit country"
"dispossetion_asylum","Where did the deportation occur?/In the current country"
"dispossetion_orgin","Where did the deportation occur?/In the country of origin"
"dispossetion_othercity","Where did the deportation occur?/In the current country, but in another city"
"dispossetion_trip","Where did the deportation occur?/During the Journey / In transit country"
"forceddisplaced_asylum","Where did the deportation occur?/In the current country"
"forceddisplaced_orgin","Where did the deportation occur?/In the country of origin"
"forceddisplaced_othercity","Where did the deportation occur?/In the current country, but in another city"
"forceddisplaced_trip","Where did the deportation occur?/During the Journey / In transit country"
"confined_asylum","Where did the deportation occur?/In the current country"
"confined_orgin","Where did the deportation occur?/In the country of origin"
"confined_othercity","Where did the deportation occur?/In the current country, but in another city"
"confined_trip","Where did the deportation occur?/During the Journey / In transit country"
"RiskYes","At risk if they returned home"
"RiskReturn_armedgroup","What risks  if returning/I am afraid of some armed group"
"RiskReturn_assaulted","What risks  if returning/We would be persecuted or assaulted or discriminated"
"RiskReturn_extorsion","What risks  if returning/I would be at risk of extortion"
"RiskReturn_healthrisk","What risks  if returning/I would be at imminent health risk"
"RiskReturn_insecurity","What risks  if returning/Would be in danger due to the insecurity of the country"
"RiskReturn_lackfood","What risks  if returning/My family group would be at risk for lack of food"
"RiskReturn_medical","What risks  if returning/Not being able to access medical services"
"RiskReturn_other","What risks  if returning/Other"
"RiskReturn_recruited","What risks  if returning/Could be forcibly recruited by criminal groups"
"RiskReturn_riskPreferNot","What risks  if returning/Prefer not to say"
"RiskReturn_subsistence","What risks  if returning/I would not get a job"
"RiskReturn_threat","What risks  if returning/Physical threat or intimidation"
"RiskReturn_violence","What risks  if returning/Fear of insecurity/violence"
"RiskYesStay","At risk if stayed at home"
"RiskStay_armedgroup","Risks  if staying home/I am afraid of some armed group"
"RiskStay_assaulted","Risks  if staying home/We would be persecuted or assaulted or discriminated"
"RiskStay_extorsion","Risks  if staying home/I would be at risk of extortion"
"RiskStay_healthrisk","Risks  if staying home/I would be at imminent health risk"
"RiskStay_insecurity","Risks  if staying home/My family group would be in danger due to the insecurity"
"RiskStay_lackfood","Risks  if staying home/My family group would be at risk for lack of food"
"RiskStay_medical","Risks  if staying home/Not being able to access medical services"
"RiskStay_other","Risks  if staying home/Other"
"RiskStay_recruited","Risks  if staying home/Could be forcibly recruited by criminal groups"
"RiskStay_riskPreferNot","Risks  if staying home/Prefer not to say"
"RiskStay_subsistence","Risks  if staying home/I would not get a job"
"RiskStay_threat","Risks  if staying home/Physical threat or intimidation"
"RiskStay_violence","Risks  if staying home/Fear of insecurity/violence"
